combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-2-5,0.00154442171449898,2026-08-04,0.8208601412562079,0,0.02263655869232474,3まくり差しv29,531.5,0.034509544659069746,202608040612,0,200,11
3-4-2,0.0014301941005480494,2026-08-04,0.3887267565289598,0,0.04426538243182707,3まくり差しv29,271.8,0.03195716993658832,202608040612,0,200,10
3-5-1,0.0011323908771068408,2026-08-04,0.5501154880985033,0,0.02476601676609839,3まくり差しv29,485.8,0.025302864611508602,202608040612,0,200,8
3-5-2,0.0011268151961762532,2026-08-04,0.6874699511871321,0,0.019720260522816915,3まくり差しv29,610.1,0.025178278037600414,202608040612,0,200,8
3-5-4,0.0011211193678633813,2026-08-04,0.9260445978551529,0,0.01456577596243414,3まくり差しv29,826.0,0.025051006813887264,202608040612,0,200,8
3-6-1,0.0009907946675225124,2026-08-04,0.5511790735427736,0,0.021627414964894124,3まくり差しv29,556.3,0.022138948517651708,202608040612,0,200,7
3-4-6,0.0005844554738816413,2026-08-04,0.2432503682295391,0,0.028907570747166267,3まくり差しv29,416.2,0.013059446191288055,202608040612,0,100,4
3-6-4,0.000570837084503967,2026-08-04,0.4141423048076281,0,0.016583502336279254,3まくり差しv29,725.5,0.012755148205834056,202608040612,0,100,4
3-4-5,0.0004403861053724683,2026-08-04,0.22516941567694304,0,0.023530864355506748,3まくり差しv29,511.3,0.009840268255691524,202608040612,0,100,3
3-5-6,0.0004273926550790498,2026-08-04,0.4367952934907889,0,0.011772339476487866,3まくり差しv29,1022.0,0.009549934308061428,202608040612,0,100,3
3-6-2,0.00029792301870899086,2026-08-04,0.1828055642798368,0,0.019607775334045955,3まくり差しv29,613.6,0.00665698210701348,202608040612,0,100,2
3-6-5,9.782860558867954e-06,2026-08-04,0.01329490749950155,0,0.008853076486365415,3まくり差しv29,1359.0,0.00021859448114482506,202608040612,0,100,0
3-4-2,0.007075607607233812,2026-08-04,0.6806734518158928,0,0.017516574321575676,3直まくりv29,96.2,0.07710953567720534,202608041003,0,1500,26
3-4-6,0.006799518674965634,2026-08-04,0.7629059953311441,0,0.015018667109942783,3直まくりv29,112.2,0.07410073550701932,202608041003,0,1400,25
3-1-5,0.00658408967666318,2026-08-04,0.03818772012464644,0,0.29053352581647934,3直まくりv29,5.8,0.07175300355909096,202608041003,0,1400,22
3-2-6,0.002997920938209709,2026-08-04,0.5351288874704331,0,0.009440305040535463,3直まくりv29,178.5,0.03267115764107459,202608041003,0,700,11
3-1-5,0.014007446371589913,2026-08-04,0.6681551919248389,0,0.07618993016660801,3まくり差しv29,47.7,0.20249851679423725,202608041706,0,1100,65
3-1-4,0.011529937599136406,2026-08-04,0.1671840951874779,0,0.25063859785842774,3まくり差しv29,14.5,0.1666824345150229,202608041706,0,900,52
3-1-2,0.010351837654270559,2026-08-04,0.6180047079599524,0,0.060875371339149116,3まくり差しv29,59.7,0.1496512437367691,202608041706,0,800,48
3-1-6,0.006523373584570312,2026-08-04,0.34182477583148435,0,0.06935610055242752,3まくり差しv29,52.4,0.09430508890252907,202608041706,0,500,30
3-4-1,0.0034677238398753626,2026-08-04,0.08114473785308349,0,0.15531024226270096,3まくり差しv29,23.4,0.0501311170929062,202608041706,0,300,15
3-2-4,0.0030406441768433454,2026-08-04,0.36518136563888576,0,0.030260280340942566,3まくり差しv29,120.1,0.04395704395903562,202608041706,0,300,14
