grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,odds_races,odds_coverage_pct,avg_composite_odds,median_composite_odds,avg_odds_lead_min
A,5頭展開,11,911,99,10.867178924259056,80,8.781558726673985,80.8080808080808,80.40714499550943,10072,134,14.709110867178925,12.513896890347175,9.690167590408915,9.007294116293533
A,5頭展開,12,911,99,10.867178924259056,82,9.001097694840833,82.82828282828282,78.20801317233808,10426.463414634147,134,14.709110867178925,11.871963100835726,9.256257827574723,9.007294116293533
A,5頭展開,13,911,99,10.867178924259056,87,9.549945115257959,87.87878787878788,88.60930507472769,12062.068965517241,134,14.709110867178925,11.353702603077068,8.930486350861475,9.007294116293533
A,5頭展開,14,911,99,10.867178924259056,88,9.659714599341383,88.88888888888889,88.17939469970206,12780,134,14.709110867178925,10.808030904658247,8.566480904402237,9.007294116293533
A,5頭展開,15,911,99,10.867178924259056,93,10.208562019758507,93.93939393939394,89.3523600439078,13129.032258064517,134,14.709110867178925,10.384201602763651,8.427802057205284,9.007294116293533
A,5頭展開,16,911,99,10.867178924259056,95,10.428100987925356,95.95959595959596,85.8397365532382,13170.526315789473,134,14.709110867178925,10.06683381955067,8.228236956340886,9.007294116293533
A,5頭展開,17,911,99,10.867178924259056,96,10.537870472008782,96.96969696969697,82.12048815135275,13247.916666666666,134,14.709110867178925,9.707523623355318,8.067138806637217,9.007294116293533
A,5頭展開,18,911,99,10.867178924259056,96,10.537870472008782,96.96969696969697,77.55823880961093,13247.916666666666,134,14.709110867178925,9.451635179686182,7.854199212448146,9.007294116293533
A,5頭展開,19,911,99,10.867178924259056,96,10.537870472008782,96.96969696969697,73.47622624068404,13247.916666666666,134,14.709110867178925,9.214624291968887,7.740673185386969,9.007294116293533
A,5頭展開,20,911,99,10.867178924259056,99,10.867178924259056,100.0,75.94511525795829,13976.969696969696,134,14.709110867178925,9.014967789505217,7.624846303390317,9.007294116293533
