month,race_code,p3head,lambda,N,hit,comp,return_yen,zero_stake,actual,tickets,pair_train,odds_source
2026-07,202607011107,0.3261720075514753,0.5,11,0,2.9357220650710003,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1;3-1-2;3-1-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.5,12,0,2.8649255568879877,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1;3-1-2;3-1-6;3-2-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,5,0,3.9021551519364563,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,6,0,3.5660383650260803,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,7,0,3.377269217700951,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,8,0,3.3319674817488933,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,9,0,3.1046162634392593,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,10,0,2.9537876894364454,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1;3-1-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,11,0,2.9357220650710003,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1;3-1-2;3-1-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.75,12,0,2.8649255568879877,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-4-1;3-1-2;3-1-6;3-2-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,5,0,3.9021551519364563,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,6,0,3.5660383650260803,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,7,0,3.377269217700951,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,8,0,3.3319674817488933,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,1.0,9,0,3.1588555730492023,0.0,0,1-2-3,3-1-5;3-5-1;3-5-4;3-4-5;3-1-4;3-5-2;3-2-5;3-5-6;3-1-2,4286,official_closing
