scope,family,param,floor,month,R,return_yen,profit_yen,roi_pct,base_R,base_return_yen,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct
S+A,FIXED,4,15.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,5,5.0,2026-04,17,577460.0,407460.0,339.6823529411765,11,577460.0,524.9636363636364,6,0.0,-60000.0,0.0
S+A,FIXED,5,5.0,2026-05,11,213760.0,103760.0,194.3272727272727,9,160120.0,177.9111111111111,2,53640.0,33640.0,268.2
S+A,FIXED,5,5.0,2026-06,13,183080.0,53080.0,140.83076923076922,8,133170.0,166.4625,5,49910.00000000001,-89.99999999999272,99.82000000000002
S+A,FIXED,5,5.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,5,5.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,5,5.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,5,6.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,5,6.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,5,6.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,5,6.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,5,6.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,5,6.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,5,7.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,5,7.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
