racer_id,racer_name,n,mean_ex_st,mean_actual_st,mean_delta,median_delta,shrunk_delta,actual_3c_faster_rate,actual_3c_slower_rate,early_n,early_delta,late_n,late_delta
4459,片岡 雅裕,58,0.10448275862068965,0.1291379310344828,0.024655172413793103,0.03,0.03126345863627883,27.586206896551722,53.44827586206897,39,0.031794871794871796,19,0.010000000000000004
4845,前田 紗希,55,0.132,0.1563636363636364,0.024363636363636358,0.009999999999999995,0.03132177211179938,40.0,49.09090909090909,24,0.010416666666666666,31,0.03516129032258065
4954,内山 峻輔,50,0.12420000000000002,0.14800000000000002,0.023799999999999998,0.0,0.03143191978778267,42.0,48.0,31,0.04419354838709678,19,-0.009473684210526318
3696,白井 友晴,71,0.13915492957746478,0.16535211267605635,0.026197183098591554,0.04000000000000001,0.0315545084847773,29.577464788732396,59.15492957746479,36,0.010000000000000002,35,0.04285714285714286
4164,岩永 節也,77,0.14545454545454548,0.17207792207792208,0.026623376623376632,0.04000000000000001,0.03156224353180414,29.87012987012987,54.54545454545455,44,0.02113636363636364,33,0.033939393939393936
5469,今泉 博人,49,0.2016326530612245,0.22551020408163266,0.02387755102040816,0.030000000000000027,0.03162568114011796,32.6530612244898,53.06122448979592,34,0.00529411764705882,15,0.066
4505,島田 賢人,74,0.12135135135135136,0.14797297297297296,0.026621621621621624,0.03,0.03173708556270191,37.83783783783784,51.351351351351354,36,0.01777777777777778,38,0.035
4834,浜本 裕己,94,0.10234042553191487,0.13021276595744682,0.027872340425531918,0.030000000000000006,0.03188379987756692,31.914893617021278,55.319148936170215,55,0.030545454545454546,39,0.0241025641025641
4964,土屋 南,82,0.11463414634146342,0.14195121951219514,0.027317073170731714,0.05,0.03191212160072783,30.48780487804878,58.53658536585366,54,0.04444444444444445,28,-0.005714285714285713
3385,渡邉 睦広,79,0.11607594936708858,0.14329113924050632,0.027215189873417714,0.03,0.03197657513783102,30.379746835443036,53.164556962025316,44,0.007045454545454547,35,0.052571428571428575
3645,淺田 千亜希,21,0.1180952380952381,0.13238095238095238,0.014285714285714287,0.01999999999999999,0.03212629636345032,28.571428571428573,47.61904761904762,15,0.02333333333333333,6,-0.008333333333333326
5052,赤井 星璃菜,39,0.12717948717948713,0.14974358974358976,0.02256410256410257,0.010000000000000009,0.0321615344340196,41.02564102564103,43.58974358974359,25,0.017199999999999997,14,0.03214285714285715
