pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct,profitable_months,months_present,min_month_roi_pct,median_month_roi_pct
0.2,0.25,185,41.62162162162162,11.891891891891893,10.34573339419593,-41940.0,97.73297297297297,151,90.46688741721854,11.258278145695364,2,7,0.0,77.38636363636364
0.2,0.26,168,41.66666666666667,10.714285714285714,10.227346106185015,-216880.0,87.0904761904762,136,75.08161764705882,9.558823529411764,2,7,0.0,76.234375
0.2,0.27,150,40.666666666666664,11.333333333333332,10.001841744760153,-143140.0,90.45733333333334,120,76.2375,10.0,2,7,0.0,93.28666666666666
0.2,0.28,134,41.7910447761194,12.686567164179104,9.746078623401859,16860.0,101.25820895522388,105,87.12857142857143,11.428571428571429,4,7,0.0,100.1470588235294
0.2,0.29,119,40.33613445378151,13.445378151260504,9.597910235317315,117180.0,109.84705882352941,91,95.07362637362637,12.087912087912088,4,7,0.0,106.40625
0.2,0.3,110,40.0,13.636363636363635,9.391003543223379,123660.0,111.24181818181818,85,91.95882352941176,11.76470588235294,3,7,0.0,66.71538461538462
0.2,0.31,102,41.17647058823529,13.725490196078432,9.112168355483956,75350.0,107.38725490196079,79,82.7012658227848,11.39240506329114,2,7,0.0,72.45
0.2,0.32,92,43.47826086956522,15.217391304347828,9.142418932964123,175350.0,119.05978260869566,69,94.68695652173913,13.043478260869565,3,7,0.0,78.84545454545454
0.21,0.15,232,36.637931034482754,9.051724137931034,11.015130017744433,-574160.0,75.25172413793103,189,68.98571428571428,8.465608465608465,2,7,0.0,64.67551020408163
0.21,0.16,232,36.637931034482754,9.051724137931034,11.015130017744433,-574160.0,75.25172413793103,189,68.98571428571428,8.465608465608465,2,7,0.0,64.67551020408163
0.21,0.17,231,36.79653679653679,9.090909090909092,11.002320218910482,-564160.0,75.57748917748918,188,69.35265957446809,8.51063829787234,2,7,0.0,64.67551020408163
0.21,0.18,230,36.95652173913043,9.130434782608695,10.998336140379996,-554160.0,75.90608695652173,187,69.7235294117647,8.55614973262032,2,7,0.0,66.02291666666666
0.21,0.19,225,37.333333333333336,9.333333333333334,10.857418639614407,-504160.0,77.5928888888889,184,70.86032608695652,8.695652173913043,2,7,0.0,66.02291666666666
0.21,0.2,220,37.72727272727273,9.545454545454547,10.824884663267504,-454160.0,79.35636363636364,180,72.435,8.88888888888889,2,7,0.0,66.02291666666666
0.21,0.21,218,38.07339449541284,9.63302752293578,10.817400985741333,-434160.0,80.08440366972476,178,73.24887640449438,8.98876404494382,2,7,0.0,67.42765957446808
0.21,0.22,210,38.57142857142858,10.0,10.506035333993879,-354160.0,83.1352380952381,170,76.69588235294118,9.411764705882353,3,7,0.0,68.89347826086957
0.21,0.23,199,39.698492462311556,10.552763819095476,10.282739800888974,-244160.0,87.73065326633166,161,80.9832298136646,9.937888198757763,3,7,0.0,72.025
0.21,0.24,191,40.83769633507853,10.99476439790576,10.33876630245668,-164160.0,91.40523560209424,155,84.11806451612904,10.32258064516129,3,7,0.0,73.7
0.21,0.25,180,41.11111111111111,11.11111111111111,10.399822502835725,-134720.0,92.51555555555555,146,83.78561643835616,10.273972602739725,2,7,0.0,79.2275
0.21,0.26,165,41.21212121212121,10.303030303030303,10.252505737693715,-236560.0,85.6630303030303,133,73.03984962406015,9.022556390977442,2,7,0.0,69.965
0.21,0.27,148,40.54054054054054,10.81081081081081,10.00352783358757,-172820.0,88.32297297297298,118,73.31949152542373,9.322033898305085,3,7,0.0,93.28666666666666
0.21,0.28,132,41.66666666666667,12.121212121212121,9.744093887824139,-12820.0,99.02878787878788,103,83.99708737864077,10.679611650485436,4,7,0.0,106.40625
0.21,0.29,118,40.67796610169492,13.559322033898304,9.553913642424064,127180.0,110.77796610169491,90,96.13,12.222222222222221,4,7,0.0,113.5
0.21,0.3,109,40.36697247706422,13.761467889908257,9.341475977594959,133660.0,112.26238532110092,84,93.05357142857143,11.904761904761903,3,7,0.0,72.275
