variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
POST,0.18,17,333,105,101,30.33033033033033,31.53153153153153,2.817886085990226,3330000,2417420.0,-912580.0,72.59519519519519
POST,0.18,18,333,105,101,30.33033033033033,31.53153153153153,2.763857756491177,3330000,2345090.0,-984910.0,70.42312312312312
POST,0.18,19,333,105,103,30.930930930930934,31.53153153153153,2.72517493196281,3330000,2363920.0,-966080.0,70.98858858858858
POST,0.18,20,333,105,105,31.53153153153153,31.53153153153153,2.6876708948265216,3330000,2386190.0,-943810.0,71.65735735735736
POST,0.2,2,282,97,26,9.219858156028367,34.39716312056738,11.382282823391906,2820000,2210420.0,-609580.0,78.38368794326242
POST,0.2,3,282,97,32,11.347517730496454,34.39716312056738,7.945193403021986,2820000,2049480.0,-770520.0,72.67659574468085
POST,0.2,4,282,97,38,13.47517730496454,34.39716312056738,6.347292468017647,2820000,2040090.0,-779910.0,72.3436170212766
POST,0.2,5,282,97,44,15.602836879432624,34.39716312056738,5.2226606209370425,2820000,1922760.0,-897240.0,68.18297872340426
POST,0.2,6,282,97,50,17.73049645390071,34.39716312056738,4.555918555884842,2820000,1958560.0,-861440.0,69.45248226950355
POST,0.2,7,282,97,53,18.79432624113475,34.39716312056738,4.122764821393736,2820000,1892150.0,-927850.0,67.09751773049645
POST,0.2,8,282,97,62,21.98581560283688,34.39716312056738,3.8132733854490493,2820000,1966290.0,-853710.0,69.72659574468085
POST,0.2,9,282,97,68,24.113475177304963,34.39716312056738,3.5641627823349964,2820000,2100540.0,-719460.0,74.4872340425532
POST,0.2,10,282,97,72,25.53191489361702,34.39716312056738,3.3568711137522107,2820000,2116520.0,-703480.0,75.05390070921986
POST,0.2,11,282,97,76,26.95035460992908,34.39716312056738,3.178524592429572,2820000,2127760.0,-692240.0,75.45248226950355
POST,0.2,12,282,97,80,28.368794326241137,34.39716312056738,3.039396840438394,2820000,2193370.0,-626630.0,77.77907801418439
POST,0.2,13,282,97,85,30.141843971631204,34.39716312056738,2.933246629962067,2820000,2276400.0,-543600.0,80.72340425531915
POST,0.2,14,282,97,87,30.851063829787233,34.39716312056738,2.836282061099174,2820000,2218110.0,-601890.0,78.6563829787234
POST,0.2,15,282,97,89,31.560283687943265,34.39716312056738,2.7629573044771507,2820000,2216640.0,-603360.0,78.60425531914893
POST,0.2,16,282,97,91,32.269503546099294,34.39716312056738,2.6952025280703458,2820000,2199270.0,-620730.0,77.98829787234042
POST,0.2,17,282,97,93,32.97872340425532,34.39716312056738,2.6404962057205363,2820000,2193990.0,-626010.0,77.80106382978724
POST,0.2,18,282,97,93,32.97872340425532,34.39716312056738,2.5898383232826214,2820000,2123570.0,-696430.0,75.30390070921986
POST,0.2,19,282,97,95,33.687943262411345,34.39716312056738,2.5527677400590374,2820000,2149550.0,-670450.0,76.22517730496453
POST,0.2,20,282,97,97,34.39716312056738,34.39716312056738,2.517150213253361,2820000,2171820.0,-648180.0,77.01489361702127
POST,0.25,2,190,77,22,11.578947368421053,40.526315789473685,10.486411388853913,1900000,1808060.0,-91940.0,95.16105263157895
POST,0.25,3,190,77,27,14.210526315789473,40.526315789473685,7.355846858578872,1900000,1682170.0,-217830.0,88.53526315789473
POST,0.25,4,190,77,31,16.315789473684212,40.526315789473685,5.867176212747788,1900000,1587230.0,-312770.0,83.53842105263158
POST,0.25,5,190,77,35,18.421052631578945,40.526315789473685,4.857159524714977,1900000,1496880.0,-403120.0,78.78315789473685
POST,0.25,6,190,77,40,21.052631578947366,40.526315789473685,4.2029409433114155,1900000,1490270.0,-409730.0,78.43526315789474
POST,0.25,7,190,77,42,22.105263157894736,40.526315789473685,3.803609195520725,1900000,1448060.0,-451940.0,76.21368421052631
POST,0.25,8,190,77,51,26.842105263157894,40.526315789473685,3.5000788634780697,1900000,1556090.0,-343910.0,81.89947368421052
POST,0.25,9,190,77,55,28.947368421052634,40.526315789473685,3.2714657234403446,1900000,1639820.0,-260180.0,86.30631578947369
POST,0.25,10,190,77,59,31.05263157894737,40.526315789473685,3.072571724048251,1900000,1660670.0,-239330.0,87.40368421052632
POST,0.25,11,190,77,61,32.10526315789474,40.526315789473685,2.911834704613732,1900000,1632580.0,-267420.0,85.92526315789473
POST,0.25,12,190,77,64,33.68421052631579,40.526315789473685,2.7799958090396144,1900000,1675900.0,-224100.0,88.20526315789473
POST,0.25,13,190,77,68,35.78947368421053,40.526315789473685,2.6841546583308826,1900000,1728560.0,-171440.0,90.97684210526316
POST,0.25,14,190,77,69,36.31578947368421,40.526315789473685,2.595202128601754,1900000,1659750.0,-240250.0,87.35526315789474
POST,0.25,15,190,77,71,37.368421052631575,40.526315789473685,2.5215566656636574,1900000,1677340.0,-222660.0,88.28105263157894
POST,0.25,16,190,77,73,38.421052631578945,40.526315789473685,2.4559358053892555,1900000,1681760.0,-218240.0,88.51368421052632
POST,0.25,17,190,77,74,38.94736842105263,40.526315789473685,2.4019776251447347,1900000,1668580.0,-231420.0,87.82
POST,0.25,18,190,77,74,38.94736842105263,40.526315789473685,2.351975502750684,1900000,1611740.0,-288260.0,84.82842105263158
POST,0.25,19,190,77,76,40.0,40.526315789473685,2.319123301671721,1900000,1646650.0,-253350.0,86.66578947368421
