date,month,race_code,layer,floor,max_n,n,comp_odds,head4_win,hit,return_yen,profit_yen,comp_band,fallback_n2
2026-04-07,2026-04,202604070808,S,7.0,20,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,8.0,20,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,9.0,20,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604070808,S,10.0,20,2,5.791525423728813,0,0,0.0,-10000.0,5-6,1
2026-04-07,2026-04,202604072403,S,3.0,10,8,3.1862832159739574,0,0,0.0,-10000.0,3-4,0
2026-04-07,2026-04,202604072403,S,4.0,10,6,4.346663590448814,0,0,0.0,-10000.0,4-5,0
2026-04-07,2026-04,202604072403,S,5.0,10,5,5.261454498507428,0,0,0.0,-10000.0,5-6,0
2026-04-07,2026-04,202604072403,S,6.0,10,4,6.5899015073392695,0,0,0.0,-10000.0,6-8,0
2026-04-07,2026-04,202604072403,S,7.0,10,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,8.0,10,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,9.0,10,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,10.0,10,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,3.0,20,8,3.1862832159739574,0,0,0.0,-10000.0,3-4,0
2026-04-07,2026-04,202604072403,S,4.0,20,6,4.346663590448814,0,0,0.0,-10000.0,4-5,0
2026-04-07,2026-04,202604072403,S,5.0,20,5,5.261454498507428,0,0,0.0,-10000.0,5-6,0
2026-04-07,2026-04,202604072403,S,6.0,20,4,6.5899015073392695,0,0,0.0,-10000.0,6-8,0
2026-04-07,2026-04,202604072403,S,7.0,20,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,8.0,20,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,9.0,20,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-07,2026-04,202604072403,S,10.0,20,3,10.3958986163358,0,0,0.0,-10000.0,10-12,0
2026-04-09,2026-04,202604090703,A,3.0,10,8,3.3246633365223244,1,0,0.0,-10000.0,3-4,0
2026-04-09,2026-04,202604090703,A,4.0,10,6,4.187169447952836,1,0,0.0,-10000.0,4-5,0
2026-04-09,2026-04,202604090703,A,5.0,10,4,6.363551878783764,1,0,0.0,-10000.0,6-8,0
2026-04-09,2026-04,202604090703,A,6.0,10,4,6.363551878783764,1,0,0.0,-10000.0,6-8,0
2026-04-09,2026-04,202604090703,A,7.0,10,3,8.106279179562502,1,0,0.0,-10000.0,8-10,0
2026-04-09,2026-04,202604090703,A,8.0,10,3,8.106279179562502,1,0,0.0,-10000.0,8-10,0
2026-04-09,2026-04,202604090703,A,9.0,10,2,10.644028103044496,1,0,0.0,-10000.0,10-12,0
2026-04-09,2026-04,202604090703,A,10.0,10,2,10.644028103044496,1,0,0.0,-10000.0,10-12,0
2026-04-09,2026-04,202604090703,A,3.0,20,8,3.3246633365223244,1,0,0.0,-10000.0,3-4,0
2026-04-09,2026-04,202604090703,A,4.0,20,6,4.187169447952836,1,0,0.0,-10000.0,4-5,0
2026-04-09,2026-04,202604090703,A,5.0,20,4,6.363551878783764,1,0,0.0,-10000.0,6-8,0
2026-04-09,2026-04,202604090703,A,6.0,20,4,6.363551878783764,1,0,0.0,-10000.0,6-8,0
2026-04-09,2026-04,202604090703,A,7.0,20,3,8.106279179562502,1,0,0.0,-10000.0,8-10,0
2026-04-09,2026-04,202604090703,A,8.0,20,3,8.106279179562502,1,0,0.0,-10000.0,8-10,0
2026-04-09,2026-04,202604090703,A,9.0,20,2,10.644028103044496,1,0,0.0,-10000.0,10-12,0
2026-04-09,2026-04,202604090703,A,10.0,20,2,10.644028103044496,1,0,0.0,-10000.0,10-12,0
2026-04-14,2026-04,202604140304,A,3.0,10,4,3.1014719921287353,0,0,0.0,-10000.0,3-4,0
2026-04-14,2026-04,202604140304,A,4.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,0
2026-04-14,2026-04,202604140304,A,5.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,0
2026-04-14,2026-04,202604140304,A,6.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,0
2026-04-14,2026-04,202604140304,A,7.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,8.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,9.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,10.0,10,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,3.0,20,4,3.1014719921287353,0,0,0.0,-10000.0,3-4,0
2026-04-14,2026-04,202604140304,A,4.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,0
2026-04-14,2026-04,202604140304,A,5.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,0
2026-04-14,2026-04,202604140304,A,6.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,0
2026-04-14,2026-04,202604140304,A,7.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,8.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,9.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-14,2026-04,202604140304,A,10.0,20,2,6.596415770609319,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,3.0,10,5,3.2004543072648572,0,0,0.0,-10000.0,3-4,0
2026-04-15,2026-04,202604150307,S,4.0,10,3,4.156664807585053,0,0,0.0,-10000.0,4-5,0
2026-04-15,2026-04,202604150307,S,5.0,10,2,6.202996254681648,0,0,0.0,-10000.0,6-8,0
2026-04-15,2026-04,202604150307,S,6.0,10,2,6.202996254681648,0,0,0.0,-10000.0,6-8,0
2026-04-15,2026-04,202604150307,S,7.0,10,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,8.0,10,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,9.0,10,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,10.0,10,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,3.0,20,5,3.2004543072648572,0,0,0.0,-10000.0,3-4,0
2026-04-15,2026-04,202604150307,S,4.0,20,3,4.156664807585053,0,0,0.0,-10000.0,4-5,0
2026-04-15,2026-04,202604150307,S,5.0,20,2,6.202996254681648,0,0,0.0,-10000.0,6-8,0
2026-04-15,2026-04,202604150307,S,6.0,20,2,6.202996254681648,0,0,0.0,-10000.0,6-8,0
2026-04-15,2026-04,202604150307,S,7.0,20,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,8.0,20,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,9.0,20,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-15,2026-04,202604150307,S,10.0,20,2,6.202996254681648,0,0,0.0,-10000.0,6-8,1
2026-04-19,2026-04,202604191506,A,3.0,10,4,3.2485575770769914,0,0,0.0,-10000.0,3-4,0
2026-04-19,2026-04,202604191506,A,4.0,10,3,5.052066108621709,0,0,0.0,-10000.0,5-6,0
2026-04-19,2026-04,202604191506,A,5.0,10,3,5.052066108621709,0,0,0.0,-10000.0,5-6,0
2026-04-19,2026-04,202604191506,A,6.0,10,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,7.0,10,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,8.0,10,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,9.0,10,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,10.0,10,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,3.0,20,4,3.2485575770769914,0,0,0.0,-10000.0,3-4,0
2026-04-19,2026-04,202604191506,A,4.0,20,3,5.052066108621709,0,0,0.0,-10000.0,5-6,0
2026-04-19,2026-04,202604191506,A,5.0,20,3,5.052066108621709,0,0,0.0,-10000.0,5-6,0
2026-04-19,2026-04,202604191506,A,6.0,20,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,7.0,20,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,8.0,20,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,9.0,20,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-19,2026-04,202604191506,A,10.0,20,2,12.454578096947936,0,0,0.0,-10000.0,12-15,0
2026-04-21,2026-04,202604210702,S,3.0,10,10,3.689973348741622,0,0,0.0,-10000.0,3-4,0
2026-04-21,2026-04,202604210702,S,4.0,10,6,4.513006914574702,0,0,0.0,-10000.0,4-5,0
2026-04-21,2026-04,202604210702,S,5.0,10,4,5.547975503491273,0,0,0.0,-10000.0,5-6,0
2026-04-21,2026-04,202604210702,S,6.0,10,3,7.207095358207488,0,0,0.0,-10000.0,6-8,0
2026-04-21,2026-04,202604210702,S,7.0,10,3,7.207095358207488,0,0,0.0,-10000.0,6-8,0
2026-04-21,2026-04,202604210702,S,8.0,10,2,12.796545105566217,0,0,0.0,-10000.0,12-15,0
2026-04-21,2026-04,202604210702,S,9.0,10,2,12.796545105566217,0,0,0.0,-10000.0,12-15,0
2026-04-21,2026-04,202604210702,S,10.0,10,2,12.796545105566217,0,0,0.0,-10000.0,12-15,0
2026-04-21,2026-04,202604210702,S,3.0,20,20,3.2182855742869343,0,0,0.0,-10000.0,3-4,0
2026-04-21,2026-04,202604210702,S,4.0,20,6,4.513006914574702,0,0,0.0,-10000.0,4-5,0
2026-04-21,2026-04,202604210702,S,5.0,20,4,5.547975503491273,0,0,0.0,-10000.0,5-6,0
2026-04-21,2026-04,202604210702,S,6.0,20,3,7.207095358207488,0,0,0.0,-10000.0,6-8,0
2026-04-21,2026-04,202604210702,S,7.0,20,3,7.207095358207488,0,0,0.0,-10000.0,6-8,0
2026-04-21,2026-04,202604210702,S,8.0,20,2,12.796545105566217,0,0,0.0,-10000.0,12-15,0
2026-04-21,2026-04,202604210702,S,9.0,20,2,12.796545105566217,0,0,0.0,-10000.0,12-15,0
2026-04-21,2026-04,202604210702,S,10.0,20,2,12.796545105566217,0,0,0.0,-10000.0,12-15,0
2026-04-22,2026-04,202604222207,A,3.0,10,10,3.3915425041739655,1,1,33880.0,23880.0,3-4,0
2026-04-22,2026-04,202604222207,A,4.0,10,8,4.371899075269714,1,1,43120.0,33120.0,4-5,0
2026-04-22,2026-04,202604222207,A,5.0,10,6,5.678822011563504,1,1,55440.0,45440.0,5-6,0
2026-04-22,2026-04,202604222207,A,6.0,10,5,7.0857749812270825,1,1,70840.0,60840.0,6-8,0
2026-04-22,2026-04,202604222207,A,7.0,10,5,7.0857749812270825,1,1,70840.0,60840.0,6-8,0
2026-04-22,2026-04,202604222207,A,8.0,10,4,9.077040112207781,1,1,89320.0,79320.0,8-10,0
2026-04-22,2026-04,202604222207,A,9.0,10,4,9.077040112207781,1,1,89320.0,79320.0,8-10,0
