q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.83,0.325,3652,2810,0.7694414019715224,1197,0.3277656078860898,0.7431972789115646,0.2942583732057416
0.83,0.35,3402,2621,0.7704291593180482,1142,0.3356848912404468,0.7523105360443623,0.29743589743589743
0.83,0.375,2859,2203,0.7705491430570129,1017,0.35571878279118574,0.7400881057268722,0.3282442748091603
0.83,0.4,2113,1625,0.7690487458589683,786,0.37198296261239944,0.7355623100303952,0.33400402414486924
0.83,0.425,1399,1064,0.7605432451751251,545,0.3895639742673338,0.6968325791855203,0.334841628959276
0.83,0.45,845,649,0.7680473372781065,363,0.42958579881656805,0.7142857142857143,0.37593984962406013
0.83,0.475,415,313,0.7542168674698795,182,0.43855421686746987,0.7049180327868853,0.4098360655737705
0.84,0.3,3519,2713,0.7709576584256891,1133,0.3219664677465189,0.7434094903339191,0.29120198265179675
0.84,0.325,3439,2651,0.7708636231462634,1122,0.3262576330328584,0.7405405405405405,0.29620253164556964
0.84,0.35,3205,2473,0.771606864274571,1071,0.33416536661466456,0.75049115913556,0.2994579945799458
0.84,0.375,2693,2078,0.7716301522465652,953,0.3538804307463795,0.7370892018779343,0.3327922077922078
0.84,0.4,1990,1533,0.7703517587939699,738,0.3708542713567839,0.7290322580645161,0.3411513859275053
0.84,0.425,1317,1005,0.7630979498861048,512,0.38876233864844345,0.69377990430622,0.3253588516746411
0.84,0.45,788,609,0.7728426395939086,336,0.4263959390862944,0.7154471544715447,0.35772357723577236
0.84,0.475,388,294,0.7577319587628866,169,0.43556701030927836,0.7272727272727273,0.4
0.85,0.3,3298,2557,0.7753183747725895,1072,0.32504548211036993,0.7490636704119851,0.29213483146067415
0.85,0.325,3221,2497,0.775225085377212,1061,0.32940080720273207,0.7461538461538462,0.29812834224598933
0.85,0.35,3002,2326,0.7748167888074617,1012,0.33710859427048634,0.7520833333333333,0.3012912482065997
0.85,0.375,2517,1952,0.7755264203416766,898,0.35677393722685735,0.739454094292804,0.3344768439108062
0.85,0.4,1869,1446,0.7736757624398074,699,0.3739967897271268,0.7312925170068028,0.34375
0.85,0.425,1241,954,0.7687348912167606,485,0.39081385979049155,0.696969696969697,0.3282828282828283
0.85,0.45,740,575,0.777027027027027,317,0.4283783783783784,0.7203389830508474,0.3644067796610169
0.85,0.475,362,276,0.7624309392265194,158,0.43646408839779005,0.7307692307692307,0.40384615384615385
0.86,0.3,3078,2388,0.7758284600389863,1012,0.32878492527615333,0.7469635627530364,0.2894736842105263
0.86,0.325,3007,2333,0.775856335217825,1001,0.3328899235118058,0.74375,0.29791666666666666
0.86,0.35,2801,2172,0.7754373438057837,956,0.34130667618707605,0.7505668934240363,0.3103975535168196
0.86,0.375,2359,1836,0.778295888088173,855,0.36244171259008057,0.7420212765957447,0.3404255319148936
0.86,0.4,1756,1369,0.7796127562642369,669,0.3809794988610478,0.7362637362637363,0.34065934065934067
