date,head,head_hit,month,period,score
2026-06-20,3,0,2026-06,calibration,57.66300000000001
2026-06-20,3,1,2026-06,calibration,41.881
2026-06-20,3,0,2026-06,calibration,39.63100000000001
2026-06-20,3,0,2026-06,calibration,42.83200000000001
2026-06-20,3,1,2026-06,calibration,72.60000000000001
2026-06-20,3,0,2026-06,calibration,31.941000000000006
2026-06-20,3,0,2026-06,calibration,34.636
2026-06-20,3,0,2026-06,calibration,82.41100000000002
2026-06-20,3,1,2026-06,calibration,66.77999999999999
2026-06-20,3,1,2026-06,calibration,55.76
2026-06-20,3,1,2026-06,calibration,75.66000000000003
2026-06-20,3,0,2026-06,calibration,66.94800000000001
2026-06-20,3,1,2026-06,calibration,78.50200000000001
2026-06-20,3,0,2026-06,calibration,32.34000000000001
2026-06-20,3,0,2026-06,calibration,45.93600000000001
2026-06-21,3,0,2026-06,calibration,74.74433333333334
2026-06-21,3,0,2026-06,calibration,49.006666666666675
2026-06-21,3,0,2026-06,calibration,56.51133333333335
2026-06-21,3,0,2026-06,calibration,57.92199999999999
2026-06-21,3,0,2026-06,calibration,73.84933333333335
2026-06-21,3,0,2026-06,calibration,69.95000000000002
2026-06-21,3,0,2026-06,calibration,60.86900000000001
2026-06-21,3,0,2026-06,calibration,57.705000000000005
2026-06-21,3,0,2026-06,calibration,71.65766666666666
2026-06-21,3,0,2026-06,calibration,68.458
2026-06-21,3,0,2026-06,calibration,56.349000000000004
2026-06-21,3,0,2026-06,calibration,76.98799999999999
2026-06-21,3,0,2026-06,calibration,41.00500000000001
2026-06-21,3,0,2026-06,calibration,79.596
2026-06-21,3,1,2026-06,calibration,82.45500000000001
2026-06-21,3,1,2026-06,calibration,68.257
2026-06-21,3,1,2026-06,calibration,86.505
2026-06-21,3,0,2026-06,calibration,32.912000000000006
2026-06-21,3,1,2026-06,calibration,60.446666666666665
2026-06-21,3,0,2026-06,calibration,31.905999999999995
2026-06-21,3,0,2026-06,calibration,37.673000000000016
2026-06-21,3,0,2026-06,calibration,43.71200000000001
2026-06-21,3,0,2026-06,calibration,64.512
2026-06-21,3,1,2026-06,calibration,76.301
2026-06-21,3,0,2026-06,calibration,66.329
2026-06-21,3,0,2026-06,calibration,41.285000000000004
2026-06-21,3,0,2026-06,calibration,60.95800000000001
2026-06-21,3,0,2026-06,calibration,51.00300000000001
2026-06-21,3,1,2026-06,calibration,82.11299999999999
2026-06-21,3,0,2026-06,calibration,82.17000000000002
2026-06-21,3,0,2026-06,calibration,59.16999999999999
2026-06-21,3,0,2026-06,calibration,65.77
2026-06-22,3,0,2026-06,calibration,77.18966666666668
2026-06-22,3,1,2026-06,calibration,75.779
2026-06-22,3,0,2026-06,calibration,45.56500000000001
2026-06-22,3,0,2026-06,calibration,66.898
2026-06-22,3,1,2026-06,calibration,48.24133333333333
2026-06-22,3,1,2026-06,calibration,77.025
2026-06-22,3,0,2026-06,calibration,74.27600000000002
2026-06-22,3,1,2026-06,calibration,99.233
2026-06-22,3,1,2026-06,calibration,68.717
2026-06-22,3,0,2026-06,calibration,62.52900000000001
2026-06-22,3,0,2026-06,calibration,64.1076666666667
2026-06-22,3,0,2026-06,calibration,66.768
2026-06-22,3,0,2026-06,calibration,52.85
2026-06-22,3,0,2026-06,calibration,40.24766666666667
2026-06-22,3,0,2026-06,calibration,33.9
2026-06-22,3,0,2026-06,calibration,42.421000000000014
2026-06-22,3,0,2026-06,calibration,75.39099999999999
2026-06-22,3,0,2026-06,calibration,50.69400000000001
2026-06-22,3,0,2026-06,calibration,36.716
2026-06-22,3,1,2026-06,calibration,56.013000000000005
2026-06-22,3,0,2026-06,calibration,45.352000000000004
2026-06-22,3,1,2026-06,calibration,45.124
2026-06-22,3,0,2026-06,calibration,47.80200000000001
2026-06-22,3,1,2026-06,calibration,34.25
2026-06-22,3,0,2026-06,calibration,84.44000000000001
2026-06-22,3,0,2026-06,calibration,40.87800000000001
2026-06-23,3,1,2026-06,calibration,32.023
2026-06-23,3,0,2026-06,calibration,63.41400000000001
2026-06-23,3,0,2026-06,calibration,86.13000000000001
2026-06-23,3,0,2026-06,calibration,7.246999999999997
2026-06-23,3,0,2026-06,calibration,43.797000000000004
2026-06-23,3,0,2026-06,calibration,50.171000000000014
2026-06-23,3,0,2026-06,calibration,27.691999999999997
2026-06-23,3,0,2026-06,calibration,35.459
2026-06-23,3,0,2026-06,calibration,34.865
2026-06-23,3,0,2026-06,calibration,8.189999999999998
2026-06-23,3,1,2026-06,calibration,81.29266666666668
2026-06-23,3,1,2026-06,calibration,69.148
2026-06-23,3,0,2026-06,calibration,49.45900000000001
2026-06-23,3,0,2026-06,calibration,29.008333333333326
2026-06-23,3,1,2026-06,calibration,79.396
2026-06-23,3,0,2026-06,calibration,56.672
