date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo,stake_v8,return_v8,profit_v8
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-1,66.9,0.0663,0.00428,331.6,1.419,0.06458,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-3,66.9,0.0663,0.00671,211.5,1.419,0.10125,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-4,66.9,0.0663,0.00277,511.3,1.419,0.04188,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-6,66.9,0.0663,0.0022,645.9,1.419,0.03315,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-1,66.9,0.0663,0.00312,454.5,1.419,0.04711,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-2,66.9,0.0663,0.00462,306.8,1.419,0.0698,100,21.41,20,0,0,1-2-4,300,0,-300
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-4,66.9,0.0663,0.00301,472.0,1.419,0.04537,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-6,66.9,0.0663,0.0022,645.9,1.419,0.03315,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-4-1,66.9,0.0663,0.00486,292.1,1.419,0.07331,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-4-2,66.9,0.0663,0.00324,438.2,1.419,0.04887,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-4-3,66.9,0.0663,0.00243,584.3,1.419,0.03665,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-4-6,66.9,0.0663,0.00312,454.5,1.419,0.04711,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-6-1,66.9,0.0663,0.00208,681.7,1.419,0.03141,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-6-2,66.9,0.0663,0.00185,767.0,1.419,0.02792,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-6-3,66.9,0.0663,0.00139,1022.0,1.419,0.02095,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051706,17,06R,3日目以降,5,5-6-4,66.9,0.0663,0.00173,818.1,1.419,0.02617,100,21.41,20,0,0,1-2-4,200,0,-200
2026-08-05,202608051711,17,11R,3日目以降,4,4-1-2,67.78,0.1903,0.04019,36.1,1.451,0.21118,100,7.62,12,0,0,1-4-2,500,0,-500
2026-08-05,202608051711,17,11R,3日目以降,4,4-1-3,67.78,0.1903,0.01084,133.8,1.451,0.05698,100,7.62,12,0,0,1-4-2,500,0,-500
2026-08-05,202608051711,17,11R,3日目以降,4,4-1-5,67.78,0.1903,0.03217,45.1,1.451,0.16903,100,7.62,12,0,0,1-4-2,400,0,-400
2026-08-05,202608051711,17,11R,3日目以降,4,4-2-1,67.78,0.1903,0.02764,52.5,1.451,0.14521,100,7.62,12,0,0,1-4-2,400,0,-400
