pre_cut,post_cut,n,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.15,0.28,5,136,41.17647058823529,27,19.852941176470587,4.615115027575874,1360000,1070980.0,-289020.0,78.74852941176471,107,69.3177570093458,16.822429906542055
0.15,0.28,6,136,41.17647058823529,31,22.794117647058822,3.960963862507437,1360000,1061150.0,-298850.0,78.02573529411765,107,68.97102803738318,19.626168224299064
0.15,0.28,7,136,41.17647058823529,32,23.52941176470588,3.605451450711356,1360000,1025900.0,-334100.0,75.43382352941177,107,66.8018691588785,20.5607476635514
0.15,0.28,8,136,41.17647058823529,39,28.676470588235293,3.345902664188538,1360000,1133970.0,-226030.0,83.38014705882352,107,72.22897196261682,25.233644859813083
0.15,0.28,9,136,41.17647058823529,41,30.14705882352941,3.139510584481951,1360000,1160190.0,-199810.0,85.30808823529412,107,77.17570093457944,27.102803738317753
0.15,0.28,10,136,41.17647058823529,43,31.61764705882353,2.9582986707538748,1360000,1148800.0,-211200.0,84.47058823529412,107,77.65607476635515,28.971962616822427
0.15,0.28,11,136,41.17647058823529,45,33.088235294117645,2.7972768815615137,1360000,1136620.0,-223380.0,83.575,107,78.17570093457944,30.8411214953271
0.15,0.28,12,136,41.17647058823529,46,33.82352941176471,2.666171313456804,1360000,1113920.0,-246080.0,81.90588235294118,107,76.71214953271028,31.775700934579437
0.15,0.28,13,136,41.17647058823529,48,35.294117647058826,2.5738209916625534,1360000,1144370.0,-215630.0,84.14485294117647,107,77.21308411214953,32.71028037383177
0.15,0.28,14,136,41.17647058823529,49,36.029411764705884,2.49138445267518,1360000,1097230.0,-262770.0,80.67867647058823,107,73.63177570093458,32.71028037383177
0.15,0.28,15,136,41.17647058823529,51,37.5,2.4215888734624462,1360000,1121800.0,-238200.0,82.48529411764706,107,76.35233644859814,34.57943925233645
0.15,0.28,16,136,41.17647058823529,52,38.23529411764706,2.3603081600549367,1360000,1121810.0,-238190.0,82.4860294117647,107,76.85327102803738,35.51401869158878
0.15,0.28,17,136,41.17647058823529,53,38.970588235294116,2.3085771375716497,1360000,1121970.0,-238030.0,82.49779411764706,107,77.15981308411214,36.44859813084112
0.15,0.28,18,136,41.17647058823529,53,38.970588235294116,2.2612571216884807,1360000,1087820.0,-272180.0,79.98676470588235,107,74.55327102803739,36.44859813084112
0.15,0.28,19,136,41.17647058823529,55,40.44117647058824,2.2284806820499727,1360000,1124340.0,-235660.0,82.67205882352941,107,77.11308411214954,37.38317757009346
0.15,0.28,20,136,41.17647058823529,56,41.17647058823529,2.193864912080662,1360000,1132100.0,-227900.0,83.24264705882354,107,78.21588785046728,38.31775700934579
0.15,0.3,2,112,39.285714285714285,15,13.392857142857142,9.666597967208954,1120000,1223660.0,103660.0,109.25535714285714,87,89.84482758620689,11.494252873563218
0.15,0.3,3,112,39.285714285714285,19,16.964285714285715,6.796784808856117,1120000,1182350.0,62350.0,105.56696428571429,87,93.28735632183908,13.793103448275861
0.15,0.3,4,112,39.285714285714285,21,18.75,5.433045875867227,1120000,1047680.0,-72320.0,93.54285714285714,87,80.65862068965517,14.942528735632186
0.15,0.3,5,112,39.285714285714285,22,19.642857142857142,4.491332023226044,1120000,915340.0,-204660.0,81.72678571428571,87,71.85172413793103,16.091954022988507
