scope,family,nparam,floor,conf,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
S+A,ENT_FIXED,3,5.0,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,3,5.0,0.85,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,160.12
S+A,ENT_FIXED,3,5.0,0.9,28,310.98214285714283,3,0.0,-30000.0,31,280.88709677419354,560750.0,58.06451612903226,29.03225806451613,0,0.0,145.56363636363636
S+A,P2R_FIXED,3,5.5,1.25,28,310.98214285714283,25,54.512,-113720.0,53,190.00566037735848,477030.0,45.28301886792453,20.754716981132077,7,0.0,119.05882352941177
S+A,P2R_FIXED,3,5.5,1.5,28,310.98214285714283,19,36.43684210526316,-120770.0,47,199.99574468085106,469980.0,46.808510638297875,21.27659574468085,5,0.0,114.37142857142857
S+A,P2R_FIXED,3,5.5,1.75,28,310.98214285714283,16,43.26875,-90770.0,44,213.63181818181818,499980.0,47.72727272727273,22.727272727272727,3,0.0,114.37142857142857
S+A,P2R_FIXED,3,5.5,2.0,28,310.98214285714283,14,49.45,-70770.0,42,223.8047619047619,519980.0,50.0,23.809523809523807,3,0.0,123.16923076923077
S+A,JM4_FIXED,3,5.5,0.3,28,310.98214285714283,30,45.42666666666667,-163720.0,58,173.62586206896552,427030.0,41.37931034482759,18.96551724137931,9,0.0,101.2
S+A,JM4_FIXED,3,5.5,0.35,28,310.98214285714283,22,31.46818181818182,-150770.0,50,187.996,439980.0,44.0,20.0,7,0.0,94.18823529411765
S+A,JM4_FIXED,3,5.5,0.4,28,310.98214285714283,9,0.0,-90000.0,37,235.33783783783784,500750.0,51.35135135135135,24.324324324324326,2,0.0,123.16923076923077
S+A,JM4_FIXED,3,5.5,0.45,28,310.98214285714283,2,0.0,-20000.0,30,290.25,570750.0,60.0,30.0,0,0.0,160.12
S+A,JM4_FIXED,3,5.5,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,3,5.5,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,3,5.5,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,3,5.5,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,3,5.5,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,3,5.5,0.85,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,160.12
S+A,ENT_FIXED,3,5.5,0.9,28,310.98214285714283,2,0.0,-20000.0,30,290.25,570750.0,60.0,30.0,0,0.0,160.12
S+A,P2R_FIXED,3,6.0,1.25,28,310.98214285714283,20,68.14,-63720.0,48,209.79791666666668,527030.0,47.91666666666667,22.916666666666664,6,0.0,134.93333333333334
S+A,P2R_FIXED,3,6.0,1.5,28,310.98214285714283,14,49.45,-70770.0,42,223.8047619047619,519980.0,50.0,23.809523809523807,2,0.0,134.93333333333334
S+A,P2R_FIXED,3,6.0,1.75,28,310.98214285714283,11,62.93636363636364,-40770.0,39,241.02051282051283,549980.0,51.28205128205128,25.64102564102564,2,0.0,144.57142857142858
S+A,P2R_FIXED,3,6.0,2.0,28,310.98214285714283,10,69.23,-30770.0,38,247.36315789473684,559980.0,52.63157894736842,26.31578947368421,2,0.0,145.56363636363636
S+A,JM4_FIXED,3,6.0,0.3,28,310.98214285714283,25,54.512,-113720.0,53,190.00566037735848,477030.0,43.39622641509434,20.754716981132077,6,0.0,112.44444444444444
S+A,JM4_FIXED,3,6.0,0.35,28,310.98214285714283,17,40.72352941176471,-100770.0,45,208.88444444444445,489980.0,46.666666666666664,22.22222222222222,5,0.0,114.37142857142857
S+A,JM4_FIXED,3,6.0,0.4,28,310.98214285714283,7,0.0,-70000.0,35,248.78571428571428,520750.0,54.285714285714285,25.71428571428571,2,0.0,133.17
S+A,JM4_FIXED,3,6.0,0.45,28,310.98214285714283,1,0.0,-10000.0,29,300.2586206896552,580750.0,62.06896551724138,31.03448275862069,0,0.0,166.4625
