month,date,race_code,p2_concentration,p2_top1,p2_top2mass,p2_ratio,p2_margin,p2_probs,nfeat2,calibration_domain,layer
2026-05,2026-05-19,202605191406,0.12809319800704833,0.390664389149476,0.6893666315084883,1.307872301406876,0.0919621467904636,1:0.155283101328|2:0.298702242359|3:0.106558019138|5:0.0487922480257|6:0.390664389149,25,0,A
2026-05,2026-05-19,202605191811,0.16058422400674044,0.501663124446022,0.6888771307579835,2.6796238931508287,0.3144491181340605,1:0.187214006312|2:0.501663124446|3:0.0957443575386|5:0.145203023484|6:0.0701754882194,25,0,A
2026-05,2026-05-20,202605201505,0.1704397304552563,0.527395257963952,0.6723175956149734,3.6391578172989467,0.3824729203129306,1:0.0768090897799|2:0.129874662642|3:0.144922337651|5:0.527395257964|6:0.120998651963,25,0,S
2026-05,2026-05-20,202605202002,0.27158064783833313,0.6236352590655754,0.7446306882027051,5.154205109341617,0.5026398299284457,1:0.0765920265222|2:0.120995429137|3:0.112719485428|5:0.0660577998469|6:0.623635259066,25,0,A
2026-05,2026-05-25,202605251307,0.35421453701645966,0.6170811090974252,0.8661832052083592,2.477221664255354,0.36797901298649116,1:0.249102096111|2:0.0670862321106|3:0.053429328088|5:0.617081109097|6:0.0133012345929,25,0,A
2026-05,2026-05-26,202605261206,0.25175212423300186,0.5647813415965055,0.7961569568043176,2.440971755339222,0.3334057263886934,1:0.231375615208|2:0.0859608442994|3:0.0691126763428|5:0.564781341597|6:0.0487695225535,25,0,A
2026-05,2026-05-28,202605280204,0.022625504035105104,0.28447176681668557,0.5215368008108057,1.1999735347885228,0.047406732822565495,1:0.284471766817|2:0.167916243895|3:0.179685958473|5:0.237065033994|6:0.130860996821,25,0,A
2026-05,2026-05-28,202605281008,0.08506601190529561,0.36200671780048993,0.6366506107024532,1.3180949118344734,0.08736282489852659,1:0.169427359264|2:0.3620067178|3:0.078553281606|5:0.115368748428|6:0.274643892902,25,0,A
2026-05,2026-05-30,202605301108,0.1821867268531735,0.519477063253399,0.7304125382823858,2.4627297195126254,0.30854158822441224,1:0.0755274511524|2:0.519477063253|3:0.0994177261134|5:0.210935475029|6:0.0946422844518,25,0,A
2026-05,2026-05-31,202605312304,0.08327490838605622,0.3923201945044275,0.6278287018212263,1.6658429836536244,0.15681168718762872,1:0.392320194504|2:0.235508507317|3:0.15341336349|5:0.0887627088673|6:0.129995225822,25,0,S
2026-06,2026-06-01,202606010506,0.28765035055966537,0.5259267036930831,0.8512956923911816,1.6164008309380613,0.2005577149949846,1:0.0547633493349|2:0.325368988698|3:0.0348488579071|5:0.525926703693|6:0.0590921003669,25,0,S
2026-06,2026-06-01,202606012402,0.13655175432015287,0.46244089682028083,0.6990173916397533,1.954720384090405,0.22586440200080843,1:0.236576494819|2:0.0982420839756|3:0.0997053021651|5:0.46244089682|6:0.10303522222,25,0,S
2026-06,2026-06-02,202606020906,0.2310146019578576,0.4146914340747571,0.8147323850134884,1.036622458529926,0.01465048313602585,1:0.414691434075|2:0.0871910914185|3:0.0596858788075|5:0.0383906447606|6:0.400040950939,25,0,S
2026-06,2026-06-02,202606021007,0.27342616844870316,0.6239438962704545,0.7573407164920443,4.677352093055903,0.4905470760488648,1:0.133396820222|2:0.62394389627|3:0.0953076066644|5:0.0615849909297|6:0.0857666859138,25,0,A
