date,month,race_code,layer,model,n,winner,head4_win,hit,return_yen,profit_yen,comp_odds,p2_concentration,tickets,policy
2026-05-03,2026-05,202605030805,A,v284,10,4,1,1,35760.0,25760.0,3.6594842319437015,0.061953840856657005,4-6-5|4-2-6|4-2-1|4-6-2|4-5-6|4-2-5|4-6-3|4-1-6|4-1-5|4-3-6,VARIABLE_v284
2026-05-03,2026-05,202605032307,S,v284,10,4,1,1,20710.0,10710.0,2.042839916607658,0.013629122965427953,4-2-3|4-3-1|4-3-6|4-2-1|4-5-6|4-1-3|4-3-2|4-2-6|4-1-6|4-6-5,VARIABLE_v284
2026-05-04,2026-05,202605040202,S,v284,4,2,0,0,0.0,-10000.0,,0.21814205741070802,,VARIABLE_v284
2026-05-04,2026-05,202605040701,A,v284,6,4,1,1,60800.0,50800.0,6.13485437330813,0.14250693630267586,4-2-1|4-2-5|4-3-1|4-3-2|4-2-3|4-1-5,VARIABLE_v284
2026-05-04,2026-05,202605040705,S,v284,4,4,1,1,29000.0,19000.0,2.933273634177725,0.31339310729481595,4-1-5|4-1-2|4-5-1|4-5-2,VARIABLE_v284
2026-05-05,2026-05,202605050202,S,v284,10,1,0,0,0.0,-10000.0,,0.044851491611980654,,VARIABLE_v284
2026-05-05,2026-05,202605050702,S,v284,8,4,1,0,0.0,-10000.0,2.643782314858979,0.10610499060937306,4-2-1|4-2-5|4-1-5|4-1-6|4-2-6|4-1-2|4-2-3|4-5-6,VARIABLE_v284
2026-05-05,2026-05,202605050904,S,v284,8,1,0,0,0.0,-10000.0,,0.08582453269519208,,VARIABLE_v284
2026-05-05,2026-05,202605051303,S,v284,8,2,0,0,0.0,-10000.0,,0.11361663028881919,,VARIABLE_v284
2026-05-09,2026-05,202605091805,S,v284,6,1,0,0,0.0,-10000.0,,0.14522030375675699,,VARIABLE_v284
2026-05-10,2026-05,202605102010,A,v284,4,1,0,0,0.0,-10000.0,,0.28307517625563394,,VARIABLE_v284
2026-05-11,2026-05,202605111606,S,v284,4,4,1,1,39950.0,29950.0,4.001013728218954,0.2223385322694461,4-5-6|4-2-5|4-2-1|4-5-1,VARIABLE_v284
2026-05-11,2026-05,202605112308,S,v284,8,4,1,1,23400.0,13400.0,2.38633367245427,0.07833631248913386,4-1-2|4-1-5|4-2-1|4-2-3|4-1-3|4-2-5|4-6-1|4-5-6,VARIABLE_v284
2026-05-13,2026-05,202605130408,S,v284,4,4,1,0,0.0,-10000.0,2.2530748768732387,0.3218705055708243,4-1-2|4-1-5|4-2-1|4-2-5,VARIABLE_v284
2026-05-16,2026-05,202605161910,S,v284,4,1,0,0,0.0,-10000.0,,0.21306024446253857,,VARIABLE_v284
2026-05-17,2026-05,202605170608,S,v284,4,1,0,0,0.0,-10000.0,,0.43273343871433345,,VARIABLE_v284
2026-05-17,2026-05,202605171007,S,v284,8,2,0,0,0.0,-10000.0,,0.10232290467742844,,VARIABLE_v284
2026-05-18,2026-05,202605181406,A,v284,8,4,1,1,40440.0,30440.0,4.067858259897392,0.07926224980478613,4-6-3|4-6-1|4-5-3|4-5-1|4-1-5|4-6-5|4-1-3|4-1-2,VARIABLE_v284
2026-05-19,2026-05,202605191406,A,v284,8,4,1,0,0.0,-10000.0,5.503276532002422,0.12809319800704833,4-6-5|4-2-5|4-2-3|4-6-2|4-1-5|4-3-5|4-1-3|4-2-1,VARIABLE_v284
2026-05-19,2026-05,202605191811,A,v284,6,1,0,0,0.0,-10000.0,,0.16058422400674044,,VARIABLE_v284
2026-05-20,2026-05,202605201505,S,v284,6,4,1,0,0.0,-10000.0,6.496761411479144,0.1704397304552563,4-5-6|4-5-2|4-3-1|4-3-6|4-6-5|4-5-1,VARIABLE_v284
2026-05-20,2026-05,202605202002,A,v284,4,2,0,0,0.0,-10000.0,,0.27158064783833313,,VARIABLE_v284
2026-05-25,2026-05,202605251307,A,v284,4,5,0,0,0.0,-10000.0,,0.35421453701645966,,VARIABLE_v284
2026-05-26,2026-05,202605261206,A,v284,4,4,1,0,0.0,-10000.0,4.574155704764995,0.25175212423300186,4-5-2|4-5-3|4-1-5|4-1-3,VARIABLE_v284
2026-05-28,2026-05,202605280204,A,v284,10,1,0,0,0.0,-10000.0,,0.022625504035105104,,VARIABLE_v284
2026-05-28,2026-05,202605281008,A,v284,8,4,1,1,36360.0,26360.0,3.677217787660405,0.08506601190529561,4-6-1|4-2-5|4-2-1|4-6-5|4-2-6|4-5-6|4-1-5|4-1-2,VARIABLE_v284
2026-05-30,2026-05,202605301108,A,v284,6,4,1,1,32480.0,22480.0,3.2282913236683153,0.1821867268531735,4-2-5|4-2-1|4-5-2|4-5-1|4-2-3|4-3-5,VARIABLE_v284
2026-05-31,2026-05,202605312304,S,v284,8,2,0,0,0.0,-10000.0,,0.08327490838605622,,VARIABLE_v284
2026-06-01,2026-06,202606010506,S,v284,4,2,0,0,0.0,-10000.0,,0.28765035055966537,,VARIABLE_v284
2026-06-01,2026-06,202606012402,S,v284,6,3,0,0,0.0,-10000.0,,0.13655175432015287,,VARIABLE_v284
2026-06-02,2026-06,202606020906,S,v284,4,1,0,0,0.0,-10000.0,,0.2310146019578576,,VARIABLE_v284
2026-06-02,2026-06,202606021007,A,v284,4,4,1,0,0.0,-10000.0,4.822448836759311,0.27342616844870316,4-2-5|4-2-3|4-1-5|4-1-3,VARIABLE_v284
2026-06-02,2026-06,202606022307,S,v284,8,1,0,0,0.0,-10000.0,,0.0666903023634331,,VARIABLE_v284
2026-06-03,2026-06,202606032109,A,v284,4,1,0,0,0.0,-10000.0,,0.39606855744497604,,VARIABLE_v284
