family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,5,9.5,2026-05,0,0.0,0.0,,,
FIXED,5,9.5,2026-06,0,0.0,0.0,,,
FIXED,5,10.0,2026-04,0,0.0,0.0,,,
FIXED,5,10.0,2026-05,0,0.0,0.0,,,
FIXED,5,10.0,2026-06,0,0.0,0.0,,,
FIXED,5,10.5,2026-04,0,0.0,0.0,,,
FIXED,5,10.5,2026-05,0,0.0,0.0,,,
FIXED,5,10.5,2026-06,0,0.0,0.0,,,
FIXED,5,11.0,2026-04,0,0.0,0.0,,,
FIXED,5,11.0,2026-05,0,0.0,0.0,,,
FIXED,5,11.0,2026-06,0,0.0,0.0,,,
FIXED,5,11.5,2026-04,0,0.0,0.0,,,
FIXED,5,11.5,2026-05,0,0.0,0.0,,,
FIXED,5,11.5,2026-06,0,0.0,0.0,,,
FIXED,5,12.0,2026-04,0,0.0,0.0,,,
FIXED,5,12.0,2026-05,0,0.0,0.0,,,
FIXED,5,12.0,2026-06,0,0.0,0.0,,,
FIXED,5,12.5,2026-04,0,0.0,0.0,,,
FIXED,5,12.5,2026-05,0,0.0,0.0,,,
FIXED,5,12.5,2026-06,0,0.0,0.0,,,
FIXED,5,13.0,2026-04,0,0.0,0.0,,,
FIXED,5,13.0,2026-05,0,0.0,0.0,,,
FIXED,5,13.0,2026-06,0,0.0,0.0,,,
FIXED,5,13.5,2026-04,0,0.0,0.0,,,
FIXED,5,13.5,2026-05,0,0.0,0.0,,,
FIXED,5,13.5,2026-06,0,0.0,0.0,,,
FIXED,5,14.0,2026-04,0,0.0,0.0,,,
FIXED,5,14.0,2026-05,0,0.0,0.0,,,
FIXED,5,14.0,2026-06,0,0.0,0.0,,,
FIXED,5,14.5,2026-04,0,0.0,0.0,,,
FIXED,5,14.5,2026-05,0,0.0,0.0,,,
FIXED,5,14.5,2026-06,0,0.0,0.0,,,
FIXED,5,15.0,2026-04,0,0.0,0.0,,,
FIXED,5,15.0,2026-05,0,0.0,0.0,,,
FIXED,5,15.0,2026-06,0,0.0,0.0,,,
FIXED,6,4.0,2026-04,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,6,4.0,2026-05,1,40230.0,30230.0,402.3,100.0,100.0
