actual_combo,coverage,date,head,head_hit,head_prob,invest,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
5-1-4,0.8114733978759872,2026-08-09,5,1,0.17153977814901442,2000,5頭展開,4250,202608090310,0,50.13700000000001,8.574717945361183,0.13919996664547374,61.60000000000001,0,1,5
1-4-5,0.6046655790870411,2026-08-09,5,0,0.19291798639721938,2000,5頭展開,1570,202608090502,0,58.401,2.1113806738973686,0.11665086596118057,18.1,0,1,1
2-4-1,0.6639413755906066,2026-08-09,5,0,0.2576235837180376,2000,5頭展開,7320,202608090503,0,73.013,21.654544700285296,0.1710469565583357,126.59999999999998,0,1,2
2-4-5,0.7442436077433647,2026-08-09,5,0,0.18867859929910172,2000,5頭展開,2610,202608090506,0,57.67966666666666,25.360365165206865,0.14042284144632816,180.6,0,1,2
5-4-1,0.8390370519280587,2026-08-09,5,1,0.22895101798880746,2000,5頭展開,4800,202608090907,0,70.10133333333334,17.903569684174748,0.19209838716925695,93.2,0,1,5
1-2-3,0.8371061965886548,2026-08-09,5,0,0.20008155917668263,2000,5頭展開,380,202608090910,0,65.36133333333335,17.016934521807936,0.16748951300992065,101.6,0,1,1
1-2-3,0.8725775716469821,2026-08-09,5,0,0.1688488160820968,2000,5頭展開,1280,202608091203,0,48.997,20.211873314882006,0.1473336899123839,137.1843284920208,0,2,1
2-4-5,0.8351713338366962,2026-08-09,5,0,0.20003601729137777,2000,5頭展開,1330,202608091301,0,65.347,31.675400262607223,0.16706434737662038,189.6,0,1,2
3-1-2,0.7560150397939905,2026-08-09,5,0,0.2547224635185416,2000,5頭展開,5820,202608091310,0,72.239,9.705730275027035,0.19257401339339353,50.400000000000006,0,1,3
3-5-1,0.7334900721249319,2026-08-09,5,0,0.14128746039297913,2000,5頭展開,39430,202608091511,0,44.702999999999996,5.160920885796936,0.10363294951399471,49.8,0,1,3
4-1-6,0.6554696072907799,2026-08-09,5,0,0.15794493300193724,2000,5頭展開,10400,202608091603,0,47.49366666666666,9.120825892655487,0.10352810320834833,88.1,0,1,4
2-6-1,0.7172191727598941,2026-08-09,5,0,0.15556564918409657,2000,5頭展開,9830,202608091810,0,30.682,9.361114495662818,0.11157466621767363,83.9,0,1,2
1-3-2,0.659138671185403,2026-08-09,5,0,0.14398266673935092,2000,5頭展開,820,202608091811,0,35.246,14.90001334964412,0.0949045436283065,157.0,0,1,1
1-3-2,0.657357824737079,2026-08-09,5,0,0.17259975068234218,2000,5頭展開,930,202608091812,0,52.406,31.31490387780303,0.11345979665870663,276.0,0,1,1
4-3-1,0.5670972926777796,2026-08-09,5,0,0.2653419725643366,2000,5頭展開,27230,202608092404,0,74.42166666666668,14.70137958466916,0.15047471427501696,97.70000000000002,0,1,4
3-4-1,0.5358387011011858,2026-08-10,3,1,0.22874192706494886,2000,3まくり,10230,202608100808,20460,64.08500000000001,1.72775569429731,0.12256877708586437,14.096213859480278,1,13,3
1-4-3,0.5172350185675461,2026-08-10,3,0,0.16080791262767258,2000,3まくり,450,202608101307,0,45.470000000000006,1.4449244431552888,0.08317548367378255,17.371999287943286,0,11,1
1-3-6,0.5408034457470184,2026-08-10,3,0,0.3163221814662057,2000,3まくり,2480,202608101310,0,81.47200000000001,3.1476481987800646,0.1710681257031377,18.399968935430564,0,12,1
1-3-5,0.5019757091625758,2026-08-10,3,0,0.21499703785905933,2000,3まくり差し,2370,202608101608,0,53.05900000000002,2.0399272096499828,0.10792329054715447,18.90164022342041,0,9,1
3-1-5,0.5078156541523919,2026-08-10,3,1,0.26831273904451436,2000,3まくり,2640,202608102007,0,69.77033333333335,1.6998352852742435,0.13625340909531009,12.47554315565931,0,13,3
1-3-2,0.5110674717244227,2026-08-10,3,0,0.24478669511129078,2000,3まくり,1160,202608102105,0,66.47933333333333,2.4203769740760563,0.1251025173823045,19.347148440503037,0,11,1
1-2-4,0.5224273968804555,2026-08-10,3,0,0.17711607470842686,2000,3まくり差し,1290,202608101801,0,38.88900000000001,1.7435625333202966,0.09253028985560773,18.8431543448216,0,9,1
1-2-4,0.8947581779941332,2026-08-10,5,0,0.17357518386952567,2000,5頭展開,860,202608100507,0,51.285000000000004,35.72079751074149,0.15530781526409343,230.0,0,1,1
5-4-2,0.7439549279787705,2026-08-10,5,1,0.12692332577774917,2000,5頭展開,13650,202608100511,0,39.293,5.826036918537965,0.09442523368781142,61.7,0,1,5
1-3-5,0.7418605411239159,2026-08-10,5,0,0.1737852990381196,2000,5頭展開,860,202608100811,0,51.69300000000001,22.252361102804045,0.12892445598380095,172.6,0,1,1
1-3-5,0.5853928078002593,2026-08-10,5,0,0.14040936929933673,2000,5頭展開,1860,202608101301,0,31.899,2.391863876626026,0.08219463493560225,29.100000000000005,0,1,1
1-3-2,0.709638128106302,2026-08-10,5,0,0.12474885417171919,2000,5頭展開,910,202608101410,0,41.53900000000001,10.578921931260071,0.08852654335782485,119.50000000000001,0,1,1
4-1-5,0.5633165372836669,2026-08-10,5,0,0.1795991230139401,2000,5頭展開,2030,202608101607,0,55.175000000000004,5.695936087044798,0.10117115607539608,56.29999999999999,0,1,4
1-3-6,0.5816547655702655,2026-08-10,5,0,0.16918528608995992,2000,5頭展開,3330,202608101805,0,48.73799999999999,28.193728098677166,0.09840742791859394,286.5,0,1,1
1-3-6,0.5677565109491813,2026-08-10,5,0,0.14791798677253723,2000,5頭展開,2340,202608101807,0,45.962,10.19534196929959,0.08398140007660289,121.4,0,1,1
1-3-2,0.5933156404111615,2026-08-10,5,0,0.1256532843029415,2000,5頭展開,1050,202608101812,0,41.722,35.15129574587272,0.07455205884596548,471.49999999999994,0,1,1
5-4-2,0.8853180875075115,2026-08-10,5,1,0.21275123721342898,2000,5頭展開,1200,202608102305,0,68.28833333333334,2.382353715292862,0.18835251844464987,12.648377281947262,0,2,5
4-6-1,0.6138232670189988,2026-08-10,5,0,0.12558596585558854,2000,5頭展開,12090,202608102410,0,40.61366666666667,15.19396356586844,0.07708758785321379,197.10000000000002,0,1,4
1-2-4,0.8092723630830497,2026-08-10,5,0,0.17858745401167356,2000,5頭展開,680,202608102411,0,56.80833333333333,15.435365150791338,0.14452589092501253,106.8,0,1,1
3-1-5,0.5354611344256707,2026-08-11,3,1,0.31244738161079655,2000,3まくり,1420,202608110707,0,79.85100000000001,1.4079521215213153,0.16730342940564755,8.415560437243423,0,13,3
1-3-4,0.5066827959668796,2026-08-11,3,0,0.31507223609616614,2000,3まくり,490,202608110709,0,83.37866666666667,1.8294417417289972,0.15964168151674227,11.459674718705191,0,14,1
1-3-2,0.6135189858573956,2026-08-11,3,0,0.21975522342172224,2000,3まくり,2260,202608111311,0,60.896,3.2100248232314486,0.13482400181056042,23.809001217318972,0,14,1
5-3-1,0.6154708948908375,2026-08-11,5,1,0.17721283146864256,2000,5頭展開,58150,202608110111,0,58.36566666666667,17.516535999205225,0.1090693399701446,160.6,0,1,5
2-6-5,0.7248330058114313,2026-08-11,5,0,0.24089611747629835,2000,5頭展開,54620,202608110412,0,69.96166666666667,21.896025897598584,0.174609456918649,125.4,0,1,2
