grade,model,lambda,tickets_n,races,base_hits,value_hits,base_hit_rate_pct,value_hit_rate_pct,hit_rate_diff_pt,base_comp_rate_pct,value_comp_rate_pct,comp_rate_diff_pt,base_roi_pct,value_roi_pct,odds_races
A,5頭展開,0.25,16,301,34,34,11.295681063122924,11.295681063122924,0.0,13.14173801407354,12.985629195561788,-0.1561088185117523,80.53363787375416,80.53363787375416,301
A,5頭展開,0.25,17,301,35,34,11.627906976744185,11.295681063122924,-0.3322259136212615,13.463719252841077,13.222750236735777,-0.24096901610529997,79.82216142270862,75.79636505765097,301
A,5頭展開,0.25,18,301,35,34,11.627906976744185,11.295681063122924,-0.3322259136212615,13.680016289223524,13.538837813086378,-0.14117847613714574,75.3875968992248,71.58545588778146,301
A,5頭展開,0.25,19,301,35,35,11.627906976744185,11.627906976744185,0.0,13.890322731525378,13.775057092036034,-0.1152656394893441,71.41982864137087,80.6627032698024,301
A,5頭展開,0.25,20,301,37,37,12.29235880398671,12.29235880398671,0.0,14.064403304586296,14.064403304586296,0.0,81.81229235880399,81.81229235880399,301
S,3まくり,0.0,1,95,6,6,6.315789473684211,6.315789473684211,0.0,7.196650197687392,7.196650197687392,0.0,102.10526315789474,102.10526315789474,95
S,3まくり,0.0,2,95,12,12,12.631578947368421,12.631578947368421,0.0,13.19647419148969,13.19647419148969,0.0,98.36842105263158,98.36842105263158,95
S,3まくり,0.0,3,95,17,17,17.894736842105264,17.894736842105264,0.0,18.28749670455308,18.28749670455308,0.0,92.03508771929825,92.03508771929825,95
S,3まくり,0.0,4,95,17,17,17.894736842105264,17.894736842105264,0.0,21.67667614672624,21.67667614672624,0.0,69.02631578947368,69.02631578947368,95
S,3まくり,0.0,5,95,19,19,20.0,20.0,0.0,25.29876483826415,25.29876483826415,0.0,65.34736842105264,65.34736842105264,95
S,3まくり,0.0,6,95,22,22,23.157894736842106,23.157894736842106,0.0,28.56658300301709,28.56658300301709,0.0,63.421052631578945,63.421052631578945,95
S,3まくり,0.0,7,95,27,27,28.42105263157895,28.42105263157895,0.0,31.227643127101683,31.227643127101683,0.0,101.17293233082707,101.17293233082707,95
S,3まくり,0.0,8,95,31,31,32.63157894736842,32.63157894736842,0.0,33.765369404103176,33.765369404103176,0.0,100.09210526315789,100.09210526315789,95
S,3まくり,0.0,9,95,33,33,34.73684210526316,34.73684210526316,0.0,36.17406001062837,36.17406001062837,0.0,102.50292397660819,102.50292397660819,95
S,3まくり,0.0,10,95,34,34,35.78947368421053,35.78947368421053,0.0,38.38972851911913,38.38972851911913,0.0,95.09473684210526,95.09473684210526,95
S,3まくり,0.0,11,95,36,36,37.89473684210526,37.89473684210526,0.0,40.01873867489229,40.01873867489229,0.0,95.74162679425838,95.74162679425838,95
S,3まくり,0.0,12,95,37,37,38.94736842105263,38.94736842105263,0.0,41.32529888677246,41.32529888677246,0.0,89.64912280701755,89.64912280701755,95
S,3まくり,0.0,13,95,38,38,40.0,40.0,0.0,42.47371842358779,42.47371842358779,0.0,93.46558704453442,93.46558704453442,95
S,3まくり,0.0,14,95,41,41,43.1578947368421,43.1578947368421,0.0,43.9213429356711,43.9213429356711,0.0,92.45864661654136,92.45864661654136,95
S,3まくり,0.0,15,95,42,42,44.21052631578947,44.21052631578947,0.0,45.21759332082184,45.21759332082184,0.0,93.9719298245614,93.9719298245614,95
S,3まくり,0.0,16,95,43,43,45.26315789473684,45.26315789473684,0.0,46.03186406876397,46.03186406876397,0.0,91.51315789473684,91.51315789473684,95
S,3まくり,0.0,17,95,43,43,45.26315789473684,45.26315789473684,0.0,46.852702095492546,46.852702095492546,0.0,86.13003095975232,86.13003095975232,95
S,3まくり,0.0,18,95,44,44,46.31578947368421,46.31578947368421,0.0,47.47785256086986,47.47785256086986,0.0,85.70760233918129,85.70760233918129,95
S,3まくり,0.0,19,95,45,45,47.36842105263158,47.36842105263158,0.0,48.167560907314744,48.167560907314744,0.0,82.61495844875347,82.61495844875347,95
S,3まくり,0.0,20,95,46,46,48.421052631578945,48.421052631578945,0.0,48.700648615620366,48.700648615620366,0.0,81.06315789473685,81.06315789473685,95
S,3まくり差し,0.0,1,10,0,0,0.0,0.0,0.0,8.001327660331192,8.001327660331192,0.0,0.0,0.0,10
S,3まくり差し,0.0,2,10,2,2,20.0,20.0,0.0,15.010078256542517,15.010078256542517,0.0,136.0,136.0,10
S,3まくり差し,0.0,3,10,3,3,30.0,30.0,0.0,20.411940480469262,20.411940480469262,0.0,128.66666666666666,128.66666666666666,10
S,3まくり差し,0.0,4,10,3,3,30.0,30.0,0.0,25.366464744690646,25.366464744690646,0.0,96.5,96.5,10
S,3まくり差し,0.0,5,10,3,3,30.0,30.0,0.0,28.35024813484958,28.35024813484958,0.0,77.2,77.2,10
S,3まくり差し,0.0,6,10,4,4,40.0,40.0,0.0,31.89291658938556,31.89291658938556,0.0,99.16666666666667,99.16666666666667,10
S,3まくり差し,0.0,7,10,4,4,40.0,40.0,0.0,35.45966335580633,35.45966335580633,0.0,85.0,85.0,10
S,3まくり差し,0.0,8,10,4,4,40.0,40.0,0.0,38.415271416155505,38.415271416155505,0.0,74.375,74.375,10
S,3まくり差し,0.0,9,10,4,4,40.0,40.0,0.0,41.29804512972959,41.29804512972959,0.0,66.11111111111111,66.11111111111111,10
S,3まくり差し,0.0,10,10,4,4,40.0,40.0,0.0,43.68648427988535,43.68648427988535,0.0,59.5,59.5,10
S,3まくり差し,0.0,11,10,4,4,40.0,40.0,0.0,45.99454121501205,45.99454121501205,0.0,54.09090909090909,54.09090909090909,10
S,3まくり差し,0.0,12,10,4,4,40.0,40.0,0.0,47.949630932889725,47.949630932889725,0.0,49.583333333333336,49.583333333333336,10
S,3まくり差し,0.0,13,10,4,4,40.0,40.0,0.0,50.779718410980706,50.779718410980706,0.0,45.76923076923077,45.76923076923077,10
S,3まくり差し,0.0,14,10,4,4,40.0,40.0,0.0,52.35705806923357,52.35705806923357,0.0,42.5,42.5,10
S,3まくり差し,0.0,15,10,5,5,50.0,50.0,0.0,54.08855348491395,54.08855348491395,0.0,51.333333333333336,51.333333333333336,10
S,3まくり差し,0.0,16,10,5,5,50.0,50.0,0.0,56.199774958167275,56.199774958167275,0.0,48.125,48.125,10
S,3まくり差し,0.0,17,10,6,6,60.0,60.0,0.0,57.6170181198457,57.6170181198457,0.0,73.05882352941177,73.05882352941177,10
S,3まくり差し,0.0,18,10,6,6,60.0,60.0,0.0,58.89929192515692,58.89929192515692,0.0,69.0,69.0,10
S,3まくり差し,0.0,19,10,6,6,60.0,60.0,0.0,60.12990043841402,60.12990043841402,0.0,65.36842105263158,65.36842105263158,10
S,3まくり差し,0.0,20,10,6,6,60.0,60.0,0.0,61.49245072691284,61.49245072691284,0.0,62.1,62.1,10
S,4カドまくり,0.1,1,98,5,5,5.1020408163265305,5.1020408163265305,0.0,6.802515101190104,6.802515101190104,0.0,56.326530612244895,56.326530612244895,98
S,4カドまくり,0.1,2,98,9,10,9.183673469387756,10.204081632653061,1.020408163265305,11.87977470052323,11.576700387025792,-0.3030743134974383,62.90816326530612,74.03061224489795,98
S,4カドまくり,0.1,3,98,14,14,14.285714285714286,14.285714285714286,0.0,17.125869866362834,17.125869866362834,0.0,64.18367346938776,64.18367346938776,98
S,4カドまくり,0.1,4,98,14,14,14.285714285714286,14.285714285714286,0.0,20.382609429207463,20.2579376322172,-0.12467179699026332,48.13775510204081,48.13775510204081,98
S,4カドまくり,0.1,5,98,14,14,14.285714285714286,14.285714285714286,0.0,23.83429598556999,23.2481414688598,-0.5861545167101916,38.51020408163265,38.51020408163265,98
S,4カドまくり,0.1,6,98,16,16,16.3265306122449,16.3265306122449,0.0,26.501466698207054,26.43798938772445,-0.06347731048260385,36.394557823129254,36.394557823129254,98
S,4カドまくり,0.1,7,98,20,21,20.408163265306122,21.428571428571427,1.020408163265305,28.79076834945873,28.385017442397523,-0.40575090706120776,73.6734693877551,79.34402332361516,98
S,4カドまくり,0.1,8,98,22,22,22.448979591836736,22.448979591836736,0.0,30.69573348766137,30.398924006169228,-0.2968094814921436,72.34693877551021,72.5765306122449,98
S,4カドまくり,0.1,9,98,24,24,24.489795918367346,24.489795918367346,0.0,32.6836121540504,32.60580998910678,-0.0778021649436198,82.34693877551021,82.34693877551021,98
S,4カドまくり,0.1,10,98,24,24,24.489795918367346,24.489795918367346,0.0,34.60139879296805,34.60139879296805,0.0,74.11224489795919,74.11224489795919,98
S,4カドまくり,0.1,11,98,24,24,24.489795918367346,24.489795918367346,0.0,36.019413763412345,35.8148398316609,-0.20457393175144745,67.3747680890538,67.3747680890538,98
S,4カドまくり,0.1,12,98,24,24,24.489795918367346,24.489795918367346,0.0,37.06211808718153,37.00844434911616,-0.05367373806537046,61.76020408163265,61.76020408163265,98
S,4カドまくり,0.1,13,98,26,26,26.53061224489796,26.53061224489796,0.0,38.01336089522589,37.91189112679186,-0.1014697684340291,60.54945054945055,61.11459968602826,98
S,4カドまくり,0.1,14,98,28,28,28.571428571428573,28.571428571428573,0.0,39.19045447068542,39.19045447068542,0.0,67.46355685131195,67.46355685131195,98
S,4カドまくり,0.1,15,98,28,28,28.571428571428573,28.571428571428573,0.0,40.293106813945606,39.91826922873336,-0.37483758521224786,62.965986394557824,62.965986394557824,98
S,4カドまくり,0.1,16,98,28,28,28.571428571428573,28.571428571428573,0.0,40.99627373034802,40.905473429320445,-0.09080030102757775,59.03061224489796,59.03061224489796,98
S,4カドまくり,0.1,17,98,28,28,28.571428571428573,28.571428571428573,0.0,41.7000997241499,41.7000997241499,0.0,55.55822328931573,55.55822328931573,98
S,4カドまくり,0.1,18,98,29,29,29.591836734693878,29.591836734693878,0.0,42.2054349037731,42.11368675720286,-0.09174814657023944,57.182539682539684,57.182539682539684,98
S,4カドまくり,0.1,19,98,29,29,29.591836734693878,29.591836734693878,0.0,42.69513262199204,42.69513262199204,0.0,54.17293233082707,54.17293233082707,98
S,4カドまくり,0.1,20,98,29,29,29.591836734693878,29.591836734693878,0.0,43.07922022644831,43.07922022644831,0.0,51.464285714285715,51.464285714285715,98
S,5頭展開,0.25,1,113,3,2,2.6548672566371683,1.7699115044247788,-0.8849557522123894,2.3440108603280256,1.6757590973932412,-0.6682517629347844,76.10619469026548,104.15929203539822,113
S,5頭展開,0.25,2,113,6,3,5.3097345132743365,2.6548672566371683,-2.6548672566371683,4.3138737023761236,3.294291187420226,-1.0195825149558977,105.0,70.13274336283186,113
S,5頭展開,0.25,3,113,8,5,7.079646017699115,4.424778761061947,-2.6548672566371687,6.035183867001509,4.951731165006417,-1.0834527019950917,87.69911504424779,65.78171091445428,113
