n,comp_band,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
16,4-5,2026-04,1,1,1,100.0,100.0,4.074638762258654,39840.0,29840.0,398.4
16,4-5,2026-06,2,1,1,50.0,50.0,4.627250604424858,46320.0,26320.0,231.6
5,8-10,2026-04,1,0,0,0.0,0.0,8.118344888441243,0.0,-10000.0,0.0
5,8-10,2026-05,1,1,0,100.0,0.0,8.782324879808801,0.0,-10000.0,0.0
5,8-10,2026-06,2,1,1,50.0,50.0,9.785965769197142,98430.0,78430.0,492.15
10,5-6,2026-04,1,0,0,0.0,0.0,5.435370075159456,0.0,-10000.0,0.0
10,5-6,2026-06,2,2,1,100.0,50.0,5.477885476633094,57900.0,37900.0,289.5
2,3-4,2026-05,4,1,0,25.0,0.0,3.658701925812141,0.0,-40000.0,0.0
3,<3,2026-05,1,1,0,100.0,0.0,2.535928143712575,0.0,-10000.0,0.0
3,15+,2026-05,2,1,0,50.0,0.0,18.56290089141705,0.0,-20000.0,0.0
3,15+,2026-06,1,0,0,0.0,0.0,24.490983744422348,0.0,-10000.0,0.0
4,12-15,2026-06,2,1,1,50.0,50.0,14.118036224654325,133170.0,113170.0,665.85
5,10-12,2026-06,1,0,0,0.0,0.0,11.999853119446668,0.0,-10000.0,0.0
6,10-12,2026-06,1,0,0,0.0,0.0,10.536472125234228,0.0,-10000.0,0.0
7,8-10,2026-06,2,0,0,0.0,0.0,8.43796180668564,0.0,-20000.0,0.0
9,6-8,2026-06,3,1,1,33.33333333333333,33.33333333333333,6.7728650649602,63690.0,33690.0,212.3
10,6-8,2026-06,2,0,0,0.0,0.0,6.775081344779455,0.0,-20000.0,0.0
11,5-6,2026-06,2,1,1,50.0,50.0,5.703975819745729,57900.0,37900.0,289.5
12,5-6,2026-06,2,1,1,50.0,50.0,5.519156191419457,57900.0,37900.0,289.5
13,5-6,2026-06,2,1,1,50.0,50.0,5.276265586070604,57900.0,37900.0,289.5
17,4-5,2026-06,2,1,1,50.0,50.0,4.416616253702095,46320.0,26320.0,231.6
18,4-5,2026-06,2,1,1,50.0,50.0,4.3261030123618,46320.0,26320.0,231.6
6,8-10,2026-06,2,1,1,50.0,50.0,8.6497465679771,81060.0,61060.0,405.3
14,5-6,2026-06,1,1,1,100.0,100.0,5.448815252142567,52110.0,42110.0,521.1
15,5-6,2026-06,1,1,1,100.0,100.0,5.165108383790098,52110.0,42110.0,521.1
19,4-5,2026-06,1,1,1,100.0,100.0,4.382550048844045,46320.0,36320.0,463.2
20,4-5,2026-06,1,1,1,100.0,100.0,4.307664857134258,46320.0,36320.0,463.2
11,6-8,2026-06,1,0,0,0.0,0.0,6.602190950111156,0.0,-10000.0,0.0
12,6-8,2026-06,1,0,0,0.0,0.0,6.398696648076301,0.0,-10000.0,0.0
13,6-8,2026-06,1,0,0,0.0,0.0,6.1888371282664,0.0,-10000.0,0.0
14,6-8,2026-06,1,0,0,0.0,0.0,6.136958103318397,0.0,-10000.0,0.0
15,6-8,2026-06,1,0,0,0.0,0.0,6.0865897828097815,0.0,-10000.0,0.0
16,5-6,2026-06,1,0,0,0.0,0.0,5.9823174115760365,0.0,-10000.0,0.0
17,5-6,2026-06,1,0,0,0.0,0.0,5.951754933321066,0.0,-10000.0,0.0
18,5-6,2026-06,1,0,0,0.0,0.0,5.927341036259451,0.0,-10000.0,0.0
19,5-6,2026-06,1,0,0,0.0,0.0,5.8945956951572365,0.0,-10000.0,0.0
20,5-6,2026-06,1,0,0,0.0,0.0,5.849311577942926,0.0,-10000.0,0.0
