date,month,race_code,venue,race,legacy_pre_p,hybrid_pre_p,hybrid_abs_threshold,p109,entry_course,head_hit,rank_l50,payout100
2026-04-20,2026-04,202604201504,15,04R,0.4806371764290241,0.4806371764290241,0.75,0.34332864221460785,1,0,0,6650
2026-04-20,2026-04,202604201505,15,05R,0.2990252472551956,0.29902524725519564,0.75,0.24821325629643265,1,0,0,2150
2026-04-20,2026-04,202604201506,15,06R,0.5658980952925415,0.5658980952925415,0.75,0.49630475677941205,1,1,1,610
2026-04-20,2026-04,202604201507,15,07R,0.5274973796950096,0.5274973796950096,0.75,0.47932635791884615,1,1,6,1250
2026-04-20,2026-04,202604201508,15,08R,0.5858044538325797,0.5858044538325797,0.75,0.6859110165042679,1,1,1,810
2026-04-20,2026-04,202604201509,15,09R,0.6074708013048734,0.6074708013048735,0.75,0.6128277724529712,1,1,2,600
2026-04-20,2026-04,202604201510,15,10R,0.6898341737021813,0.6898341737021814,0.75,0.754554009890273,1,1,4,2060
2026-04-20,2026-04,202604201511,15,11R,0.6765428154547212,0.6765428154547212,0.75,0.7146681438087998,1,1,8,2260
2026-04-20,2026-04,202604201512,15,12R,0.7164471903507003,0.7164471903507003,0.75,0.713133801374676,1,0,0,3380
2026-04-20,2026-04,202604201801,18,01R,0.52399633300559,0.52399633300559,0.75,0.5925809412987996,1,1,7,1050
2026-04-20,2026-04,202604201802,18,02R,0.6496302438838399,0.64963024388384,0.75,0.7758280141092826,1,1,1,500
2026-04-20,2026-04,202604201803,18,03R,0.6799104683366927,0.6799104683366927,0.75,0.7095564864789881,1,1,3,940
2026-04-20,2026-04,202604201804,18,04R,0.6515929472195322,0.6515929472195322,0.75,0.7855477935077085,1,1,2,630
2026-04-20,2026-04,202604201805,18,05R,0.6223906745288794,0.6223906745288794,0.75,0.598251073745902,1,1,1,640
2026-04-20,2026-04,202604201806,18,06R,0.2865757238494275,0.28657572384942753,0.75,0.3173108293350129,1,0,0,15880
2026-04-20,2026-04,202604201807,18,07R,0.27963052009871486,0.2796305200987148,0.75,0.19417820450106496,1,0,0,2750
2026-04-20,2026-04,202604201808,18,08R,0.5068936618222627,0.5068936618222627,0.75,0.5159745099926628,1,1,1,890
2026-04-20,2026-04,202604201809,18,09R,0.48215603004415847,0.48215603004415847,0.75,0.49283082579688425,1,0,0,50560
2026-04-20,2026-04,202604201810,18,10R,0.433099018626446,0.433099018626446,0.75,0.42328998291434156,1,1,9,4540
2026-04-20,2026-04,202604201811,18,11R,0.46810654716845496,0.46810654716845507,0.75,0.5192847835769361,1,1,6,1300
2026-04-20,2026-04,202604201812,18,12R,0.812217884565762,0.812217884565762,0.75,0.7750151697221547,1,0,0,38140
2026-04-20,2026-04,202604202102,21,02R,0.5831578997819521,0.5831578997819521,0.75,0.7050923089389426,1,1,6,970
2026-04-20,2026-04,202604202103,21,03R,0.5192217558252054,0.5192217558252054,0.75,0.579200653148071,1,1,10,2990
2026-04-20,2026-04,202604202104,21,04R,0.7064615165592494,0.7064615165592495,0.75,0.8391672649805019,1,1,17,3380
2026-04-20,2026-04,202604202105,21,05R,0.6977533233695239,0.6977533233695239,0.75,0.6821383936068856,1,1,1,880
2026-04-20,2026-04,202604202106,21,06R,0.33145512986096726,0.3314551298609672,0.75,0.28078642720919034,1,0,0,4340
2026-04-20,2026-04,202604202107,21,07R,0.4052654384070026,0.4052654384070025,0.75,0.5864279851679101,0,0,0,4400
2026-04-20,2026-04,202604202109,21,09R,0.42457426004763865,0.42457426004763865,0.75,0.6207467154145023,1,1,6,2310
2026-04-20,2026-04,202604202110,21,10R,0.632533390268385,0.632533390268385,0.75,0.7510068213680036,1,0,0,24170
2026-04-20,2026-04,202604202111,21,11R,0.7462180929730948,0.7462180929730948,0.75,0.8032469864027372,1,0,0,22020
2026-04-20,2026-04,202604202112,21,12R,0.7011923182423682,0.7011923182423683,0.75,0.7423354164923458,1,1,6,960
2026-04-20,2026-04,202604202212,22,12R,0.8257105396130562,0.8257105396130564,0.75,0.798850230224967,1,1,17,2840
2026-04-20,2026-04,202604202301,23,01R,0.46114736879593954,0.4611473687959394,0.75,0.6019200770263664,0,0,0,6830
2026-04-20,2026-04,202604202302,23,02R,0.5285540202520318,0.5285540202520317,0.75,0.5865087161353432,0,1,6,1680
2026-04-20,2026-04,202604202304,23,04R,0.572222421573406,0.5722224215734059,0.75,0.6744529037310614,0,1,3,520
2026-04-20,2026-04,202604202305,23,05R,0.7232008015488796,0.7232008015488794,0.75,0.8259645263052542,0,1,3,690
2026-04-20,2026-04,202604202306,23,06R,0.6123720239438329,0.6123720239438327,0.75,0.6939546748647561,0,1,8,4050
