actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,stake,train_pair_count,venue
,3-5-1,0.002017333420392324,2026-08-29,0.45934681982333214,0,0.020727127106076413,3まくり,227.7,0.052842568002956836,0,10R,202608291110,0,300,15,11
,3-1-4,0.0019552640962477584,2026-08-29,0.10558426119737896,0,0.08739938596395554,3まくり,54.0,0.05121670762268865,0,10R,202608291110,0,300,14,11
,3-6-1,0.0019042333801257065,2026-08-29,0.05465149800960777,0,0.164444837702216,3まくり,28.7,0.04987999547601996,0,10R,202608291110,0,300,13,11
,3-1-6,0.001829817433049658,2026-08-29,0.03934107481056765,0,0.21951473683970227,3まくり,21.5,0.047930724371838394,0,10R,202608291110,0,300,12,11
,3-5-4,0.0014871073176707307,2026-08-29,0.31244124744262053,0,0.022463430947423126,3まくり,210.1,0.038953684486339325,0,10R,202608291110,0,200,11,11
,3-2-6,0.0013735925520128233,2026-08-29,0.15892465826788366,0,0.04079141609380811,3まくり,115.7,0.035980248532231585,0,10R,202608291110,0,200,10,11
,3-6-4,0.0012460687999357714,2026-08-29,0.12797126575340373,0,0.04595488648542939,3まくり,102.7,0.03263985746300848,0,10R,202608291110,0,200,9,11
,3-2-5,0.0012232695304635155,2026-08-29,0.2353570576611804,0,0.024529973191546768,3まくり,192.4,0.03204264733634973,0,10R,202608291110,0,200,9,11
,3-4-2,0.005028349082201915,2026-08-29,0.4077991105665753,0,0.028147347167980317,3まくり,81.1,0.08092396786530956,0,09R,202608291309,0,700,23,13
,3-4-6,0.004612485161265132,2026-08-29,0.27674910967590793,0,0.038045830922053395,3まくり,60.0,0.07423124267378546,0,09R,202608291309,0,600,21,13
,3-1-5,0.004424902882738466,2026-08-29,0.05619626661077852,0,0.17974408309631526,3まくり,12.7,0.0712123786228938,0,09R,202608291309,0,600,19,13
,3-4-1,0.004032945262501839,2026-08-29,0.11735870713880353,0,0.07844501221041936,3まくり,29.1,0.06490439058426256,0,09R,202608291309,0,600,18,13
,3-5-2,0.003923452105553543,2026-08-29,0.5881254706224762,0,0.015228484691949323,3まくり,149.9,0.063142257413016,0,09R,202608291309,0,600,18,13
,3-2-4,0.003919413708122996,2026-08-29,0.6937362263377703,0,0.012896891837984202,3まくり,177.0,0.06307726527771385,0,09R,202608291309,0,500,18,13
,3-2-1,0.003718119597856946,2026-08-29,0.3915179936543364,0,0.02167853613792216,3まくり,105.3,0.059837729230325355,0,09R,202608291309,0,500,17,13
,3-4-5,0.0035664974724417204,2026-08-29,0.1376668024362504,0,0.059138597288165895,3まくり,38.6,0.05739759156203947,0,09R,202608291309,0,500,16,13
,3-6-1,0.0028485513434877295,2026-08-29,0.3312865212476229,0,0.01962811569495446,3まくり,116.3,0.045843292423552735,0,09R,202608291309,0,400,13,13
,3-4-2,0.004108142752896592,2026-08-29,0.6577136547387443,0,0.02036848184002222,3まくり,160.1,0.08070713538230026,0,07R,202608291707,0,500,23,17
,3-4-6,0.003800129053011824,2026-08-29,0.23256789804432362,0,0.0532842147481627,3まくり,61.2,0.0746560059860115,0,07R,202608291707,0,500,21,17
