actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return,score,stake
3-2-4,A,3-5-2,0.007167430345790944,0.027723231160819265,2026-08-26,2.8813069990079594,3,0.2585351723330339,0,0.0046915386508926665,3まくり,402.0,10940,test,202608261806,0,70.999,100
3-2-4,A,3-5-4,0.014866238088160861,0.05750180122111513,2026-08-26,2.166010889445037,3,0.2585351723330339,0,0.008058126395611868,3まくり,145.7,10940,test,202608261806,0,70.999,100
3-2-4,A,3-5-6,0.009745008469867415,0.03769316330125602,2026-08-26,2.308592506511591,3,0.2585351723330339,0,0.005547234025059732,3まくり,236.9,10940,test,202608261806,0,70.999,100
3-2-4,A,3-6-4,0.011917524876312334,0.046096338725474036,2026-08-26,1.5349772040690288,3,0.2585351723330339,0,0.004186050110086297,3まくり,128.8,10940,test,202608261806,0,70.999,100
1-3-5,A,5-1-2,0.07153984298492864,0.7153984298492865,2026-08-26,6.045116732226471,5,0.1,0,0.060420559667382884,5頭展開,84.5,2210,test,202608261809,0,59.21400000000001,400
1-3-5,A,5-1-6,0.020326624843096816,0.20326624843096816,2026-08-26,6.081726153054567,5,0.1,0,0.017041335187976417,5頭展開,299.2,2210,test,202608261809,0,59.21400000000001,100
1-4-5,A,5-1-2,0.061342230725534214,0.6134223072553421,2026-08-27,6.4838737876889665,5,0.1,0,0.05237701802950302,5頭展開,105.7,1730,test,202608270412,0,62.42966666666667,400
1-4-5,A,5-1-6,0.02705120392267879,0.2705120392267879,2026-08-27,5.118087782170827,5,0.1,0,0.02188144411355381,5頭展開,189.2,1730,test,202608270412,0,62.42966666666667,200
1-2-5,A,3-2-4,0.0110819662091002,0.0509383692335284,2026-08-27,1.8096850819460626,3,0.21755636028108025,0,0.0049888175104501695,3まくり,163.3,3520,test,202608270809,0,64.406,100
1-2-5,A,3-2-6,0.006765892186964307,0.03109949154427319,2026-08-27,1.6441118014323266,3,0.21755636028108025,0,0.0026616190141831677,3まくり,243.0,3520,test,202608270809,0,64.406,100
1-2-5,A,3-4-1,0.025206845571086614,0.11586351940490118,2026-08-27,1.2477388557687874,3,0.21755636028108025,0,0.005108017644717266,3まくり,49.5,3520,test,202608270809,0,64.406,100
1-2-5,A,3-4-2,0.013139685606839143,0.06039669715867109,2026-08-27,2.6607863353849264,3,0.21755636028108025,0,0.008242115808361917,3まくり,202.5,3520,test,202608270809,0,64.406,100
1-2-5,A,3-4-5,0.013048494706970882,0.05997753726947987,2026-08-27,1.9664081523405117,3,0.21755636028108025,0,0.00645563228016374,3まくり,150.7,3520,test,202608270809,0,64.406,100
1-2-5,A,3-4-6,0.018790262604606596,0.086369631208804,2026-08-27,2.296170090282926,3,0.21755636028108025,0,0.01069447269210335,3まくり,122.2,3520,test,202608270809,0,64.406,100
1-2-5,A,3-5-4,0.012697173473624195,0.05836268568392851,2026-08-27,3.2911073643633912,3,0.21755636028108025,0,0.008873382511089819,3まくり,259.2,3520,test,202608270809,0,64.406,100
1-2-5,A,3-5-6,0.007752027499522546,0.0356322724350923,2026-08-27,2.6907287450842756,3,0.21755636028108025,0,0.00488508738828164,3まくり,347.1,3520,test,202608270809,0,64.406,100
1-2-5,A,3-6-4,0.008618966042146767,0.03961716417304999,2026-08-27,1.6919030340734105,3,0.21755636028108025,0,0.003542770271753254,3まくり,196.3,3520,test,202608270809,0,64.406,100
